user_id,risk_level,fraud_count,risk_score,risk_bucket
USER_000650,2,2,51,mid
USER_040332,3,7,95,high
USER_040082,2,2,67,mid
USER_108055,1,0,38,low
USER_103815,1,1,23,low
USER_159736,1,1,16,low
USER_155226,2,1,64,mid
USER_147399,2,2,45,mid
USER_158759,1,0,32,low
USER_112430,1,1,26,low
USER_128471,3,4,94,high
USER_156721,3,9,94,high
USER_102934,1,1,22,low
USER_048659,1,0,18,low
USER_079764,1,1,35,low
USER_087131,1,0,35,low
USER_127251,3,8,84,high
USER_139870,2,3,69,mid
USER_076302,2,2,52,mid
USER_185639,1,0,12,low
USER_041500,2,1,58,mid
USER_057829,2,1,65,mid
USER_160434,2,1,52,mid
USER_194903,1,1,32,low
USER_050163,3,7,95,high
USER_069770,2,2,48,mid
USER_187741,2,2,61,mid
USER_116120,1,1,30,low
USER_124122,1,0,26,low
USER_196891,1,1,25,low
USER_003604,3,8,97,high
USER_190809,1,1,30,low
USER_047832,2,3,69,mid
USER_058553,1,1,20,low
USER_015064,2,1,54,mid
USER_154353,1,1,17,low
USER_088516,3,7,90,high
USER_149777,2,1,51,mid
USER_070125,1,0,28,low
USER_074434,2,2,42,mid
USER_070040,1,1,28,low
USER_146675,2,3,59,mid
USER_145169,1,0,16,low
USER_184431,1,1,12,low
USER_102447,1,1,11,low
USER_108942,1,0,13,low
USER_199733,1,0,26,low
USER_137053,1,1,14,low
USER_097635,1,1,38,low
USER_147178,1,1,16,low
USER_011161,2,3,56,mid
USER_153941,3,4,97,high
USER_027945,1,0,39,low
USER_158621,2,1,62,mid
USER_162285,3,8,98,high
USER_053157,2,2,61,mid
USER_147219,3,6,87,high
USER_144626,1,1,17,low
USER_119023,3,7,80,high
USER_088416,1,1,25,low
USER_127108,2,3,62,mid
USER_122600,3,6,88,high
USER_015886,2,1,62,mid
USER_037999,1,0,24,low
USER_091190,3,8,99,high
USER_094676,1,0,29,low
USER_101580,3,6,89,high
USER_031574,1,1,32,low
USER_057460,1,0,34,low
USER_129508,1,1,32,low
USER_112115,2,3,49,mid
USER_138595,1,1,21,low
USER_124470,2,3,53,mid
USER_065197,1,1,20,low
USER_101274,1,0,11,low
USER_041884,1,1,23,low
USER_102000,2,3,59,mid
USER_113578,2,2,53,mid
USER_185637,1,0,23,low
USER_114366,2,3,41,mid
USER_127114,1,1,37,low
USER_095551,2,1,53,mid
USER_109332,1,1,33,low
USER_082823,1,1,34,low
USER_154277,3,8,84,high
USER_049497,1,1,29,low
USER_185298,2,2,67,mid
USER_094479,3,6,75,high
USER_194942,2,2,43,mid
USER_140106,1,0,38,low
USER_115037,3,7,78,high
USER_163279,1,1,21,low
USER_019075,1,1,30,low
USER_147014,3,3,86,high
USER_089284,3,6,70,high
USER_169507,2,2,56,mid
USER_144560,2,3,60,mid
USER_156942,1,1,30,low
USER_098334,2,3,50,mid
USER_118193,2,2,60,mid
USER_176174,1,1,27,low
USER_197380,1,0,18,low
USER_178699,3,3,87,high
USER_131078,1,0,21,low
USER_090335,1,0,23,low
USER_058885,1,1,29,low
USER_088921,2,1,64,mid
USER_195674,2,2,69,mid
USER_091198,2,3,56,mid
USER_132908,2,2,55,mid
USER_182569,1,0,33,low
USER_141499,1,0,30,low
USER_108913,1,0,30,low
USER_156978,1,1,37,low
USER_092195,3,9,91,high
USER_189350,2,1,55,mid
USER_087052,3,5,80,high
USER_038126,3,4,93,high
USER_143122,3,7,87,high
USER_137695,2,1,51,mid
USER_029240,3,4,98,high
USER_028371,3,4,84,high
USER_103504,3,8,92,high
USER_171263,2,2,48,mid
USER_094735,1,1,12,low
USER_046412,3,9,75,high
USER_165511,1,0,13,low
USER_197453,1,1,18,low
USER_117570,2,3,44,mid
USER_083786,3,3,71,high
USER_192083,1,0,27,low
USER_151808,1,1,29,low
USER_111388,1,0,32,low
USER_147791,3,8,91,high
USER_149788,1,0,18,low
USER_101989,1,1,36,low
USER_084752,2,2,44,mid
USER_189635,2,1,53,mid
USER_072100,1,1,10,low
USER_062499,1,0,23,low
USER_119808,1,0,28,low
USER_098801,2,2,46,mid
USER_087550,1,1,16,low
USER_135640,2,1,60,mid
USER_087978,2,3,66,mid
USER_122556,2,1,66,mid
USER_085225,2,1,68,mid
USER_157208,1,1,17,low
USER_090411,2,3,48,mid
USER_108339,2,1,67,mid
USER_092051,2,1,59,mid
USER_184163,2,3,53,mid
USER_134755,3,7,99,high
USER_150612,2,1,48,mid
USER_031514,1,1,32,low
USER_014083,1,1,13,low
USER_062431,2,3,63,mid
USER_050800,1,0,31,low
USER_126688,2,2,53,mid
USER_000521,2,1,57,mid
USER_188310,3,5,72,high
USER_146237,1,0,14,low
USER_038561,2,1,41,mid
USER_171319,1,0,14,low
USER_019062,2,2,40,mid
USER_147053,2,1,67,mid
USER_038588,2,1,66,mid
USER_134296,1,0,34,low
USER_052516,1,0,28,low
USER_000862,2,1,50,mid
USER_150872,2,1,56,mid
USER_114442,2,3,57,mid
USER_121803,1,1,23,low
USER_136443,2,3,52,mid
USER_189691,1,1,25,low
USER_066268,2,1,56,mid
USER_189708,1,0,10,low
USER_145317,1,0,13,low
USER_006445,2,1,69,mid
USER_158488,2,2,59,mid
USER_039883,2,3,43,mid
USER_143156,3,8,89,high
USER_192840,3,8,87,high
USER_125373,1,1,39,low
USER_114361,1,0,23,low
USER_056214,1,0,17,low
USER_050323,3,7,99,high
USER_005934,2,2,46,mid
USER_066281,1,0,22,low
USER_071381,1,0,20,low
USER_053056,2,2,55,mid
USER_024203,3,6,88,high
USER_196047,3,8,70,high
USER_062172,1,0,31,low
USER_145053,1,1,16,low
USER_067669,1,0,10,low
USER_033542,1,1,14,low
USER_043852,1,0,18,low
USER_019644,1,1,32,low
USER_082406,3,5,74,high
USER_181087,2,3,69,mid
USER_184003,2,1,42,mid
USER_038983,1,0,19,low
USER_047215,1,0,29,low
USER_090004,2,2,41,mid
USER_118484,2,3,60,mid
USER_081724,3,9,91,high
USER_099890,1,1,17,low
USER_081259,3,8,91,high
USER_039645,1,0,21,low
USER_163905,2,2,50,mid
USER_164481,2,1,43,mid
USER_069335,1,1,17,low
USER_191538,3,4,86,high
USER_069082,1,1,36,low
USER_026854,3,9,77,high
USER_179583,2,3,41,mid
USER_178348,2,1,41,mid
USER_068895,1,0,13,low
USER_148184,1,0,18,low
USER_121672,1,0,30,low
USER_048881,2,2,47,mid
USER_153583,3,5,75,high
USER_120510,2,1,50,mid
USER_044524,1,1,37,low
USER_032761,3,7,87,high
USER_117002,2,3,45,mid
USER_154417,3,3,98,high
USER_112387,1,0,33,low
USER_055930,1,0,29,low
USER_129895,2,3,46,mid
USER_053826,2,2,41,mid
USER_018238,3,4,96,high
USER_089011,1,0,31,low
USER_097444,1,1,31,low
USER_034181,2,3,41,mid
USER_151185,3,7,96,high
USER_076824,1,0,37,low
USER_180134,3,6,76,high
USER_058184,1,0,34,low
USER_167570,2,2,60,mid
USER_177129,2,3,66,mid
USER_135009,1,1,30,low
USER_123090,2,3,54,mid
USER_169711,1,1,28,low
USER_144836,1,0,14,low
USER_109502,1,0,24,low
USER_086192,2,3,45,mid
USER_048746,1,0,37,low
USER_189242,2,1,55,mid
USER_032305,2,3,68,mid
USER_168466,2,1,66,mid
USER_154587,1,1,26,low
USER_152153,1,0,32,low
USER_011091,1,0,13,low
USER_146364,1,1,20,low
USER_191891,1,1,22,low
USER_045711,1,0,36,low
USER_138528,3,3,83,high
USER_149341,2,3,45,mid
USER_011246,2,3,42,mid
USER_135652,3,7,82,high
USER_178073,1,0,19,low
USER_071967,1,0,16,low
USER_026455,1,1,15,low
USER_148985,1,0,14,low
USER_055900,1,1,11,low
USER_000979,1,1,36,low
USER_161097,2,2,42,mid
USER_179080,1,0,14,low
USER_169057,3,7,73,high
USER_076607,1,0,20,low
USER_062123,2,3,44,mid
USER_017111,3,9,77,high
USER_018176,1,1,32,low
USER_071945,1,1,38,low
USER_179555,2,3,53,mid
USER_087948,1,1,21,low
USER_006159,1,0,23,low
USER_158711,2,3,59,mid
USER_083976,1,0,21,low
USER_087709,3,4,93,high
USER_011039,2,1,61,mid
USER_057219,1,0,23,low
USER_068904,3,4,86,high
USER_093081,1,1,11,low
USER_129414,3,6,81,high
USER_035383,3,7,75,high
USER_057607,1,0,14,low
USER_150288,3,7,77,high
USER_068531,1,1,16,low
USER_013829,1,0,24,low
USER_009477,1,0,19,low
USER_144228,3,9,89,high
USER_000720,3,4,87,high
USER_086773,1,0,32,low
USER_115899,2,3,65,mid
USER_104151,2,3,47,mid
USER_170909,1,0,31,low
USER_042972,2,3,58,mid
USER_019534,2,2,54,mid
USER_001359,3,9,91,high
USER_090638,1,0,37,low
USER_178737,2,2,44,mid
USER_052613,3,4,93,high
USER_195792,2,1,50,mid
USER_193698,1,0,20,low
USER_025203,2,3,68,mid
USER_100469,1,1,12,low
USER_085392,1,0,11,low
USER_019938,1,1,29,low
USER_046729,3,7,70,high
USER_038367,1,1,19,low
USER_193988,2,2,46,mid
USER_026552,1,1,22,low
USER_195827,1,1,24,low
USER_037337,1,0,32,low
USER_175830,2,2,62,mid
USER_173771,2,3,54,mid
USER_061113,2,2,56,mid
USER_007132,2,1,55,mid
USER_121951,2,1,50,mid
USER_012906,2,3,65,mid
USER_146739,1,0,31,low
USER_189342,3,5,80,high
USER_197913,1,0,28,low
USER_062711,3,3,90,high
USER_134962,2,1,45,mid
USER_084437,1,1,19,low
USER_111919,3,7,90,high
USER_050070,2,3,52,mid
USER_146841,3,3,86,high
USER_164038,1,0,37,low
USER_021859,2,1,68,mid
USER_050195,1,0,10,low
USER_143780,2,3,69,mid
USER_035966,1,0,33,low
USER_131176,2,3,68,mid
USER_023695,3,5,78,high
USER_188138,1,0,22,low
