user_id,risk_level,fraud_count,risk_score,risk_bucket
USER_025435,3,8,76,high
USER_055843,2,1,58,mid
USER_113462,2,2,59,mid
USER_111295,2,1,44,mid
USER_007461,1,0,19,low
USER_110876,3,9,96,high
USER_145649,2,1,68,mid
USER_061761,2,2,42,mid
USER_012464,1,0,16,low
USER_002025,3,4,80,high
USER_190953,1,0,15,low
USER_070368,1,0,21,low
USER_140679,1,0,16,low
USER_013250,1,1,30,low
USER_082307,1,0,12,low
USER_064472,3,7,80,high
USER_109996,1,1,39,low
USER_089723,3,7,98,high
USER_064586,1,1,12,low
USER_015483,1,1,35,low
USER_106944,1,1,32,low
USER_177137,3,9,94,high
USER_076778,1,0,14,low
USER_070153,1,0,10,low
USER_081266,3,4,70,high
USER_167654,1,1,11,low
USER_189401,1,0,32,low
USER_195191,2,1,53,mid
USER_134786,1,1,17,low
USER_059740,2,3,60,mid
USER_171397,1,0,15,low
USER_140037,1,1,35,low
USER_086989,1,0,31,low
USER_082658,1,1,39,low
USER_009890,1,1,28,low
USER_171800,2,1,48,mid
USER_025711,2,1,69,mid
USER_081160,2,1,68,mid
USER_044877,1,1,24,low
USER_010407,2,1,52,mid
USER_054767,3,3,97,high
USER_042349,1,1,36,low
USER_121235,3,4,76,high
USER_165202,2,2,50,mid
USER_135600,2,3,56,mid
USER_134260,1,1,38,low
USER_135073,2,2,55,mid
USER_065874,2,1,49,mid
USER_014666,2,3,63,mid
USER_130549,3,6,71,high
USER_150548,3,8,81,high
USER_125117,2,3,54,mid
USER_011335,1,0,38,low
USER_198997,1,0,37,low
USER_174880,3,8,79,high
USER_185629,1,1,13,low
USER_160402,2,2,68,mid
USER_148035,1,0,29,low
USER_054991,2,1,55,mid
USER_064299,3,9,82,high
USER_098162,1,0,25,low
USER_023885,1,1,17,low
USER_062425,1,0,38,low
USER_098733,1,1,27,low
USER_008584,1,1,27,low
USER_153576,1,1,15,low
USER_140642,3,8,96,high
USER_161879,3,5,90,high
USER_009322,1,1,13,low
USER_197815,2,1,66,mid
USER_146643,3,3,70,high
USER_114893,3,7,89,high
USER_077438,1,1,15,low
USER_092599,1,0,20,low
USER_109327,1,0,39,low
USER_042840,1,1,35,low
USER_179500,3,9,77,high
USER_196296,1,1,36,low
USER_010665,1,1,34,low
USER_108596,1,0,39,low
USER_075777,1,0,12,low
USER_032665,3,6,78,high
USER_025295,1,0,11,low
USER_158867,3,9,93,high
USER_015812,1,0,26,low
USER_147119,2,2,63,mid
USER_112880,1,1,35,low
USER_043364,1,0,19,low
USER_149403,3,8,84,high
USER_056014,2,3,67,mid
USER_092636,1,0,20,low
USER_130543,1,0,36,low
USER_118833,1,1,20,low
USER_158718,2,3,41,mid
USER_007382,2,2,55,mid
USER_156352,2,2,56,mid
USER_061285,1,0,22,low
USER_152222,1,1,37,low
USER_111287,1,0,30,low
USER_052908,3,3,93,high
USER_170783,2,3,62,mid
USER_038687,3,6,75,high
USER_022855,1,1,20,low
USER_055160,3,6,88,high
USER_180606,1,0,25,low
USER_010206,1,1,18,low
USER_171309,1,1,15,low
USER_195234,3,3,78,high
USER_101246,1,0,34,low
USER_030011,2,3,67,mid
USER_198744,1,1,23,low
USER_101270,1,0,38,low
USER_018011,1,1,19,low
USER_129499,1,1,33,low
USER_011812,1,0,19,low
USER_097621,3,7,92,high
USER_197843,2,3,65,mid
USER_081523,1,0,39,low
USER_064224,2,3,40,mid
USER_189724,3,9,76,high
USER_075779,1,1,16,low
USER_154283,2,2,44,mid
USER_033079,2,2,44,mid
USER_081311,2,1,53,mid
USER_189380,1,1,10,low
USER_061742,1,0,22,low
USER_064625,1,1,30,low
USER_011194,1,1,34,low
USER_100610,1,0,10,low
USER_198758,2,3,46,mid
USER_084046,1,1,18,low
USER_026907,1,0,16,low
USER_183588,2,1,59,mid
USER_147773,1,0,34,low
USER_014471,2,2,65,mid
USER_151165,1,0,28,low
USER_194626,1,1,23,low
USER_184100,2,1,66,mid
USER_100035,1,1,27,low
USER_088514,2,1,57,mid
USER_008167,1,1,20,low
USER_136148,1,1,23,low
USER_156959,3,9,99,high
USER_097149,1,0,12,low
USER_032681,1,1,23,low
USER_086583,1,1,27,low
USER_043610,2,1,63,mid
USER_061332,1,1,31,low
USER_073777,3,3,85,high
USER_168579,2,1,47,mid
USER_079088,3,8,97,high
USER_023691,3,4,85,high
USER_009848,1,0,37,low
USER_062964,1,0,20,low
USER_199153,1,0,25,low
USER_097256,2,1,47,mid
USER_081316,1,0,13,low
USER_039942,3,6,85,high
USER_085027,3,9,98,high
USER_048246,1,1,24,low
USER_091286,1,0,29,low
USER_092212,2,3,62,mid
USER_113334,2,1,65,mid
USER_090970,2,2,66,mid
USER_112586,1,0,17,low
USER_050089,3,8,85,high
USER_119045,3,6,85,high
USER_151437,1,1,18,low
USER_130237,2,2,50,mid
USER_074624,1,0,22,low
USER_033857,2,3,54,mid
USER_018441,2,1,55,mid
USER_184391,1,1,32,low
USER_116950,1,1,35,low
USER_086743,1,1,20,low
USER_030607,2,2,44,mid
USER_120226,1,1,18,low
USER_162977,2,2,62,mid
USER_038459,2,1,69,mid
USER_002170,1,0,37,low
USER_093863,1,1,22,low
USER_026790,1,1,17,low
USER_192467,2,3,59,mid
USER_003594,1,1,34,low
USER_093464,1,0,22,low
USER_169366,1,0,33,low
USER_087371,3,5,75,high
USER_130176,2,3,64,mid
USER_073879,1,0,32,low
USER_156097,2,2,63,mid
USER_061883,3,5,80,high
USER_094851,3,9,95,high
USER_161786,3,4,92,high
USER_188216,1,1,28,low
USER_099878,1,0,35,low
USER_080573,2,1,59,mid
USER_151580,1,1,32,low
USER_163002,1,1,26,low
USER_068071,1,1,27,low
USER_114974,1,1,30,low
USER_108475,3,6,90,high
USER_022043,1,0,29,low
USER_154239,1,0,11,low
USER_045114,1,1,30,low
USER_027856,1,0,10,low
USER_169080,1,1,33,low
USER_071593,2,2,49,mid
USER_159054,1,1,28,low
USER_094454,1,1,38,low
USER_039275,1,0,36,low
USER_189833,2,3,60,mid
USER_158516,1,0,13,low
USER_160978,1,0,23,low
USER_106472,2,2,41,mid
USER_071885,2,1,59,mid
USER_186862,3,4,88,high
USER_182576,1,0,15,low
USER_180639,1,0,27,low
USER_028650,1,0,22,low
USER_000958,3,3,81,high
USER_110625,2,2,44,mid
USER_157412,1,0,22,low
USER_097005,1,1,15,low
USER_162921,3,3,84,high
USER_146392,1,1,24,low
USER_121453,2,1,68,mid
USER_094904,1,0,36,low
USER_069360,1,0,36,low
USER_120784,1,0,35,low
USER_057389,1,0,22,low
USER_089707,1,1,31,low
USER_110333,2,3,68,mid
USER_043163,2,2,59,mid
USER_096566,1,1,18,low
USER_116139,1,0,14,low
USER_112605,1,0,13,low
USER_152831,1,0,29,low
USER_149459,3,6,73,high
USER_064162,3,4,92,high
USER_057977,1,0,16,low
USER_158055,3,9,76,high
USER_003816,2,1,53,mid
USER_080006,2,2,48,mid
USER_109679,1,1,39,low
USER_022924,1,0,22,low
USER_179672,2,2,41,mid
USER_144477,3,3,97,high
USER_199030,2,2,50,mid
USER_087658,1,0,39,low
USER_069406,1,0,28,low
USER_081862,1,0,11,low
USER_147122,3,5,88,high
USER_182370,2,1,58,mid
USER_166783,2,3,66,mid
USER_172381,3,6,91,high
USER_192927,2,1,45,mid
USER_184575,2,1,63,mid
USER_165315,2,3,47,mid
USER_125193,2,3,60,mid
USER_034148,2,3,68,mid
USER_134295,2,2,40,mid
USER_082185,2,1,69,mid
USER_058616,1,1,27,low
USER_121169,2,3,42,mid
USER_196289,1,0,24,low
USER_057208,3,7,76,high
USER_008809,2,2,45,mid
USER_065207,2,1,50,mid
USER_109494,1,1,36,low
USER_138996,1,0,37,low
USER_183404,3,8,95,high
USER_061887,1,0,37,low
USER_081710,1,1,36,low
USER_118506,1,1,17,low
USER_164705,3,7,77,high
USER_157835,3,4,95,high
USER_059828,1,1,30,low
USER_097609,3,7,71,high
USER_020366,1,0,15,low
USER_133155,1,1,24,low
USER_106663,2,3,41,mid
USER_053663,2,3,55,mid
USER_008761,1,0,10,low
USER_087401,1,0,25,low
USER_162512,2,1,47,mid
USER_106863,1,1,39,low
USER_088165,3,6,78,high
USER_085850,3,3,94,high
USER_085820,2,2,52,mid
USER_018745,2,3,53,mid
USER_099508,1,0,17,low
USER_024090,1,0,20,low
USER_147699,3,7,78,high
USER_043668,2,3,58,mid
USER_131265,1,0,29,low
USER_071383,3,7,95,high
USER_067139,1,0,15,low
USER_116198,1,1,29,low
USER_073510,1,1,38,low
USER_173616,1,1,31,low
USER_134021,1,0,19,low
USER_142437,1,0,28,low
USER_049555,3,8,95,high
USER_129220,1,1,36,low
USER_197473,3,5,91,high
USER_120950,1,1,18,low
USER_050668,3,5,86,high
USER_115376,1,1,14,low
USER_008181,1,0,22,low
USER_063170,1,1,16,low
USER_010987,1,0,14,low
USER_103324,3,9,81,high
USER_060928,1,1,23,low
USER_187450,2,2,47,mid
USER_117776,2,2,44,mid
USER_027852,2,2,55,mid
USER_041003,2,1,41,mid
USER_070388,1,1,12,low
USER_039631,1,0,15,low
USER_135574,1,0,36,low
USER_138135,3,4,91,high
USER_184732,2,3,53,mid
USER_180214,2,1,52,mid
USER_005290,3,6,84,high
USER_134977,1,0,20,low
USER_004102,3,5,99,high
USER_041134,1,1,32,low
USER_115144,3,7,85,high
USER_186517,2,2,57,mid
USER_175941,1,1,14,low
USER_042759,3,9,78,high
USER_010538,3,4,95,high
USER_021073,3,3,92,high
USER_162106,2,3,64,mid
USER_156932,1,1,34,low
USER_147035,1,0,13,low
USER_014957,1,1,11,low
USER_047194,3,7,85,high
USER_054868,2,2,54,mid
USER_170288,1,1,24,low
USER_192355,2,1,59,mid
USER_055638,1,0,17,low
USER_051753,1,0,35,low
USER_126594,1,0,12,low
USER_179840,1,0,27,low
USER_136531,2,1,41,mid
USER_011588,3,9,86,high
USER_044374,1,0,24,low
USER_150369,1,0,24,low
USER_127760,2,1,41,mid
USER_137712,2,3,42,mid
USER_067860,1,1,29,low
USER_014906,1,1,20,low
USER_134866,2,3,47,mid
USER_170413,3,5,99,high
USER_138277,2,3,49,mid
USER_111278,1,0,18,low
USER_060201,2,1,66,mid
USER_100903,2,2,49,mid
USER_140672,1,0,26,low
USER_054169,1,1,26,low
USER_181753,2,1,45,mid
USER_140450,1,0,20,low
USER_054186,1,1,21,low
USER_175469,3,8,94,high
USER_162994,1,1,11,low
USER_067170,2,2,63,mid
USER_050716,3,6,77,high
USER_199873,2,1,67,mid
USER_047128,1,0,35,low
USER_061034,1,1,33,low
USER_021326,1,1,31,low
USER_032214,2,1,49,mid
USER_162962,1,0,23,low
USER_075541,2,2,51,mid
USER_005869,2,1,49,mid
USER_082138,2,1,61,mid
USER_153354,1,0,27,low
USER_148991,1,1,26,low
USER_173551,3,4,78,high
USER_139405,3,9,91,high
USER_001230,3,4,72,high
USER_131478,2,1,41,mid
USER_115545,3,6,82,high
USER_063954,2,3,47,mid
USER_085529,2,3,45,mid
USER_037682,1,0,11,low
USER_129065,1,0,10,low
USER_182422,3,9,70,high
USER_085873,2,2,44,mid
USER_145617,2,1,60,mid
USER_064030,1,1,22,low
USER_044582,2,1,47,mid
USER_009268,3,5,81,high
USER_116974,1,0,28,low
USER_040537,1,1,37,low
USER_051976,1,1,37,low
USER_149828,1,0,28,low
USER_140184,2,1,43,mid
USER_090750,2,1,63,mid
USER_051876,3,4,70,high
USER_135024,2,1,69,mid
USER_157440,2,3,46,mid
USER_111398,1,1,36,low
USER_159627,2,2,62,mid
USER_051214,1,1,12,low
USER_183774,3,7,98,high
USER_194393,1,0,32,low
USER_128141,1,1,25,low
USER_045647,3,4,93,high
USER_022010,2,1,57,mid
USER_011603,2,3,57,mid
USER_049122,3,8,78,high
USER_104219,1,1,17,low
USER_191046,2,1,60,mid
USER_049297,2,2,40,mid
USER_180157,1,1,25,low
USER_143891,1,1,35,low
USER_198495,2,3,60,mid
USER_050337,3,3,94,high
USER_143687,2,3,45,mid
USER_059851,2,2,42,mid
USER_116375,2,1,43,mid
USER_039687,3,7,85,high
USER_132080,2,1,50,mid
USER_024773,3,5,85,high
USER_191829,1,0,20,low
USER_196231,2,2,55,mid
USER_163948,3,9,85,high
USER_067828,2,3,57,mid
USER_010348,1,0,19,low
USER_179391,2,1,58,mid
USER_166573,2,2,42,mid
USER_097248,3,5,85,high
USER_052925,2,3,42,mid
USER_068984,1,0,33,low
USER_145810,1,1,23,low
USER_074230,1,0,28,low
USER_038702,3,9,73,high
USER_020303,1,1,36,low
USER_007253,1,0,20,low
USER_160217,1,1,27,low
USER_095130,1,1,27,low
USER_057152,3,5,82,high
USER_099169,1,1,18,low
USER_081822,3,5,87,high
USER_197664,1,0,13,low
USER_152837,1,1,17,low
USER_193491,2,3,65,mid
USER_169062,3,7,73,high
USER_168800,1,1,19,low
USER_189658,1,0,26,low
USER_136924,2,2,45,mid
USER_150317,2,3,69,mid
USER_089851,1,0,16,low
USER_184896,2,3,62,mid
USER_125758,3,6,90,high
USER_003615,3,8,79,high
USER_120640,1,0,13,low
USER_048196,1,1,11,low
USER_151091,2,1,44,mid
USER_112390,2,1,64,mid
USER_120400,3,6,70,high
USER_185979,1,0,23,low
USER_076963,1,0,18,low
USER_174869,3,5,78,high
USER_074378,1,0,33,low
USER_072866,2,3,45,mid
USER_070234,3,9,80,high
USER_168999,2,1,45,mid
USER_098152,1,0,10,low
USER_161502,1,0,24,low
USER_000900,1,1,24,low
USER_080395,1,0,38,low
USER_193724,1,1,21,low
USER_106429,1,1,14,low
USER_136229,2,3,46,mid
USER_087992,1,0,34,low
USER_036596,1,1,39,low
USER_067488,1,1,13,low
USER_190451,1,0,28,low
USER_134758,1,0,10,low
USER_139670,2,1,60,mid
USER_156614,1,0,31,low
USER_045760,2,1,49,mid
USER_144909,1,1,13,low
USER_045607,3,5,80,high
USER_191940,1,0,28,low
USER_135490,1,1,10,low
USER_002642,1,1,17,low
USER_017232,2,2,63,mid
USER_058706,2,2,61,mid
USER_118523,1,1,18,low
USER_164377,3,3,93,high
USER_019345,1,1,22,low
USER_057407,1,1,14,low
USER_019975,3,6,80,high
USER_012016,2,1,44,mid
USER_167782,2,3,53,mid
USER_109575,1,0,12,low
USER_163326,3,9,82,high
