user_id,risk_level,fraud_count,risk_score,risk_bucket
USER_028330,1,0,39,low
USER_172235,2,2,50,mid
USER_006439,2,2,57,mid
USER_040026,3,9,74,high
USER_062188,3,3,97,high
USER_181707,1,0,12,low
USER_073468,3,8,71,high
USER_022286,1,1,35,low
USER_048040,1,1,19,low
USER_015371,1,0,34,low
USER_125374,1,1,25,low
USER_000518,1,1,33,low
USER_079669,3,9,99,high
USER_112358,2,3,48,mid
USER_031950,2,2,53,mid
USER_032205,1,0,27,low
USER_045410,1,0,34,low
USER_062697,1,0,26,low
USER_185727,1,1,37,low
USER_158368,3,5,92,high
USER_053824,1,1,11,low
USER_101315,1,1,30,low
USER_104444,1,0,33,low
USER_089265,1,1,26,low
USER_179241,1,0,10,low
USER_011763,1,1,18,low
USER_148531,3,7,91,high
USER_168729,1,1,25,low
USER_008453,1,1,19,low
USER_157599,2,1,66,mid
USER_032724,1,1,31,low
USER_033151,2,2,55,mid
USER_095460,1,1,24,low
USER_156338,3,4,86,high
USER_149070,1,0,23,low
USER_106907,1,1,17,low
USER_108461,3,9,89,high
USER_154382,1,0,24,low
USER_073789,1,0,33,low
USER_080450,2,1,56,mid
USER_156639,1,1,37,low
USER_045865,1,0,14,low
USER_147019,1,1,35,low
USER_018580,2,1,54,mid
USER_150381,3,7,77,high
USER_179259,1,1,10,low
USER_142819,2,1,43,mid
USER_141486,1,0,23,low
USER_129458,3,7,91,high
USER_104091,3,3,70,high
USER_044272,1,0,31,low
USER_159356,2,1,65,mid
USER_126160,1,1,39,low
USER_042615,2,3,67,mid
USER_003249,3,8,86,high
USER_155832,2,1,45,mid
USER_185371,3,4,81,high
USER_171599,2,1,52,mid
USER_156126,2,3,48,mid
USER_122890,3,9,93,high
USER_192690,1,1,34,low
USER_072451,1,1,22,low
USER_081068,1,1,17,low
USER_094096,1,1,18,low
USER_096332,1,1,28,low
USER_185755,3,4,86,high
USER_155752,2,3,58,mid
USER_148365,2,1,64,mid
USER_154428,1,0,36,low
USER_113740,1,0,36,low
USER_102239,1,0,31,low
USER_014394,1,0,29,low
USER_148250,3,4,83,high
USER_197237,2,1,62,mid
USER_198042,2,2,50,mid
USER_107538,1,0,32,low
USER_048688,1,0,29,low
USER_018585,1,1,24,low
USER_083412,1,0,23,low
USER_185475,1,1,17,low
USER_098035,1,0,18,low
USER_152302,2,1,50,mid
USER_006735,1,0,30,low
USER_001225,1,1,26,low
USER_121005,3,7,71,high
USER_044413,2,2,41,mid
USER_142818,3,5,84,high
USER_005232,1,0,17,low
USER_005100,1,1,21,low
USER_022571,1,0,16,low
USER_117834,1,0,17,low
USER_177629,2,3,64,mid
USER_114117,1,0,31,low
USER_008024,1,0,17,low
USER_156657,1,0,14,low
USER_094431,2,2,62,mid
USER_055914,2,3,47,mid
USER_014664,2,1,43,mid
USER_010113,3,6,91,high
USER_109412,1,1,35,low
USER_169547,1,0,33,low
USER_129317,2,2,53,mid
USER_123128,3,4,85,high
USER_131756,2,1,58,mid
USER_101729,3,7,92,high
USER_175529,1,1,24,low
USER_006043,1,0,12,low
USER_167962,3,7,83,high
USER_146887,1,0,22,low
USER_171642,1,1,24,low
USER_197699,1,1,37,low
USER_112280,2,2,55,mid
USER_181560,2,1,69,mid
USER_176987,1,0,16,low
USER_123124,2,2,46,mid
USER_192133,2,1,56,mid
USER_139019,3,8,84,high
USER_185163,1,0,24,low
USER_149509,1,0,22,low
USER_079479,2,1,49,mid
USER_020330,1,1,16,low
USER_104450,2,3,57,mid
USER_135241,2,1,59,mid
USER_146658,2,3,56,mid
USER_165120,1,0,14,low
USER_018556,3,7,73,high
USER_070922,2,1,46,mid
USER_182461,2,2,48,mid
USER_170392,2,2,59,mid
USER_042177,2,2,58,mid
USER_182922,1,0,24,low
USER_011836,2,3,57,mid
USER_024155,3,7,88,high
USER_066607,2,2,45,mid
USER_034608,2,3,54,mid
USER_198792,1,1,15,low
USER_097046,3,4,93,high
USER_070171,2,3,65,mid
USER_010255,1,1,14,low
USER_177933,2,2,48,mid
USER_031625,3,7,73,high
USER_032602,1,0,18,low
USER_129386,3,8,80,high
USER_162884,3,3,85,high
USER_031233,3,3,93,high
USER_057112,2,1,68,mid
USER_147395,1,1,23,low
USER_130094,2,2,45,mid
USER_071795,1,1,26,low
USER_054968,2,3,56,mid
USER_167506,2,3,47,mid
USER_113388,2,2,66,mid
USER_147161,2,1,64,mid
USER_011710,2,2,69,mid
USER_033342,2,3,65,mid
USER_045931,2,3,47,mid
USER_037424,3,6,70,high
USER_079644,3,4,91,high
USER_017627,1,1,28,low
USER_105669,1,1,11,low
USER_188652,2,3,60,mid
USER_108232,1,1,17,low
USER_111101,1,0,15,low
USER_057046,2,3,40,mid
USER_164504,1,1,20,low
USER_139030,1,0,29,low
USER_074551,1,1,14,low
USER_084852,1,0,29,low
USER_059529,2,3,63,mid
USER_187839,1,1,18,low
USER_035757,1,1,33,low
USER_119059,1,0,27,low
USER_063219,2,2,50,mid
USER_055038,2,3,65,mid
USER_118819,1,0,23,low
USER_043662,3,5,93,high
USER_119050,1,0,30,low
USER_053038,3,7,78,high
USER_072595,2,2,54,mid
USER_073454,1,1,10,low
USER_086556,1,1,14,low
USER_020178,1,1,39,low
USER_162265,1,1,22,low
USER_046087,1,0,19,low
USER_154276,2,1,69,mid
USER_010662,1,0,29,low
USER_119186,1,0,34,low
USER_114002,1,1,28,low
USER_184825,1,1,17,low
USER_173241,1,0,19,low
USER_096901,1,1,19,low
USER_114116,1,0,22,low
USER_053947,3,4,84,high
USER_079232,1,1,14,low
USER_052487,1,1,11,low
USER_128806,1,1,18,low
USER_056607,1,0,34,low
USER_149433,1,0,39,low
USER_180886,3,8,86,high
USER_087829,2,1,49,mid
USER_157981,1,1,16,low
USER_144446,1,0,27,low
USER_015673,1,1,35,low
USER_114185,2,3,60,mid
USER_168679,1,0,18,low
USER_169187,2,2,53,mid
USER_026733,1,1,11,low
USER_182162,1,1,35,low
USER_082654,3,6,82,high
USER_102314,1,0,14,low
USER_010064,1,1,20,low
USER_116446,2,3,51,mid
USER_021380,1,1,33,low
USER_008396,1,1,10,low
USER_129149,1,0,25,low
USER_182321,2,2,51,mid
USER_092927,1,0,30,low
USER_048330,1,0,20,low
USER_187298,3,6,80,high
USER_137756,3,7,92,high
USER_190822,1,1,24,low
USER_181828,3,9,70,high
USER_098671,3,9,70,high
USER_040169,1,0,20,low
USER_181881,1,0,15,low
USER_159008,1,0,20,low
USER_005646,1,1,28,low
USER_060940,1,1,20,low
USER_144161,2,1,57,mid
USER_068763,1,1,21,low
USER_113453,1,0,19,low
USER_113492,1,1,20,low
USER_108261,2,2,50,mid
USER_105940,2,3,68,mid
USER_026465,2,3,43,mid
USER_067034,2,1,54,mid
USER_199495,3,3,94,high
USER_192115,1,0,28,low
USER_070393,1,1,11,low
USER_178704,1,1,31,low
USER_137953,1,0,24,low
USER_119193,1,0,14,low
USER_030403,2,2,55,mid
USER_067273,3,4,74,high
USER_163599,1,0,22,low
USER_045701,3,9,90,high
USER_004405,1,0,32,low
USER_102669,2,1,43,mid
USER_178307,3,4,92,high
USER_086390,1,0,34,low
USER_196025,3,9,86,high
USER_130617,2,3,66,mid
USER_155998,1,1,30,low
USER_091479,1,1,32,low
USER_148541,1,1,32,low
USER_073999,3,7,86,high
USER_182223,1,0,20,low
USER_040310,2,3,66,mid
USER_081249,1,1,21,low
USER_178457,1,1,37,low
USER_023372,3,8,98,high
USER_147889,2,1,64,mid
USER_018358,1,0,12,low
USER_044454,2,1,64,mid
USER_113476,2,1,40,mid
USER_061620,1,1,15,low
USER_066416,3,9,72,high
USER_159998,2,3,59,mid
USER_067281,3,5,72,high
USER_050672,1,0,17,low
USER_100418,2,3,59,mid
USER_066359,1,0,27,low
USER_113513,1,1,31,low
USER_112363,1,1,37,low
USER_076118,2,3,45,mid
USER_123101,1,1,29,low
USER_131551,1,1,37,low
USER_093442,1,0,30,low
USER_098809,1,1,31,low
USER_154144,1,1,20,low
USER_193312,3,7,80,high
USER_190249,1,1,20,low
USER_025671,1,1,14,low
USER_188407,2,2,41,mid
USER_198511,3,8,84,high
USER_130736,1,1,37,low
USER_114492,2,3,49,mid
USER_035484,3,3,92,high
USER_032986,1,0,28,low
USER_081854,2,3,49,mid
USER_113088,2,1,52,mid
USER_091549,1,1,37,low
USER_196220,1,0,32,low
USER_039168,2,2,60,mid
USER_029977,2,3,45,mid
USER_057371,1,0,18,low
USER_093329,3,3,72,high
USER_064748,1,0,29,low
USER_075493,3,4,81,high
USER_099751,2,3,54,mid
USER_100915,1,1,17,low
USER_098533,1,0,17,low
USER_180604,2,3,50,mid
USER_016812,2,1,41,mid
USER_062924,1,0,39,low
USER_142988,1,1,30,low
USER_044767,2,2,42,mid
USER_161393,2,2,49,mid
USER_009672,3,8,99,high
USER_010447,2,1,44,mid
USER_068879,1,0,33,low
USER_146029,2,3,54,mid
USER_100133,1,0,16,low
USER_112511,3,9,86,high
USER_018142,1,1,25,low
USER_137289,1,1,16,low
USER_151742,1,1,32,low
USER_173530,3,3,92,high
USER_108660,1,1,36,low
USER_044300,2,2,45,mid
USER_059074,1,0,10,low
USER_100667,2,2,46,mid
USER_019876,1,1,26,low
USER_149534,3,3,81,high
USER_130078,2,1,43,mid
USER_130394,2,1,53,mid
USER_102854,3,8,92,high
USER_096771,2,2,64,mid
USER_097363,1,0,29,low
USER_036089,3,6,72,high
USER_161671,2,3,46,mid
USER_129611,1,0,15,low
USER_134335,1,1,34,low
USER_147859,2,3,65,mid
USER_065953,3,6,99,high
USER_115231,2,2,64,mid
USER_025199,1,0,18,low
USER_026370,1,0,12,low
USER_170351,2,3,68,mid
USER_061788,1,1,37,low
USER_053571,3,6,84,high
USER_011639,1,1,15,low
USER_035809,2,3,47,mid
USER_160725,2,2,64,mid
USER_027219,3,7,88,high
USER_182882,3,5,87,high
USER_008072,1,0,27,low
USER_183535,1,0,32,low
USER_186113,1,1,14,low
USER_141319,3,9,70,high
USER_148433,1,1,26,low
USER_158661,3,5,74,high
USER_056799,1,0,23,low
USER_175697,2,2,44,mid
USER_030958,2,1,40,mid
USER_051344,1,0,15,low
USER_117267,1,0,29,low
USER_142652,2,2,44,mid
USER_092607,2,2,50,mid
USER_141363,1,0,11,low
USER_064966,1,1,26,low
USER_050509,2,2,46,mid
USER_066122,3,4,78,high
USER_121710,2,1,46,mid
USER_103275,1,1,24,low
USER_044826,2,1,63,mid
USER_129370,3,8,74,high
USER_147260,2,2,42,mid
USER_127909,1,1,19,low
USER_157126,3,9,73,high
USER_145381,1,1,38,low
USER_091128,1,1,28,low
USER_134090,1,1,10,low
USER_085535,1,1,37,low
USER_156004,1,0,32,low
USER_074703,2,2,60,mid
USER_155881,3,3,99,high
USER_174412,2,2,47,mid
USER_071074,2,1,68,mid
USER_104140,1,1,37,low
USER_043273,3,4,77,high
USER_126943,2,3,48,mid
USER_191300,1,1,20,low
USER_199923,2,2,60,mid
USER_195879,1,0,20,low
USER_094142,2,1,40,mid
USER_004230,1,0,35,low
USER_098937,3,5,70,high
USER_083882,2,1,51,mid
USER_023655,1,1,39,low
USER_041298,1,0,15,low
USER_177263,1,0,39,low
USER_040644,2,1,50,mid
USER_041718,1,0,31,low
USER_195445,2,1,66,mid
USER_093682,3,8,97,high
USER_009171,2,1,60,mid
USER_151190,2,2,44,mid
USER_175819,3,3,86,high
USER_040785,1,0,19,low
USER_187303,2,3,54,mid
USER_003938,1,1,37,low
USER_006865,2,2,67,mid
USER_023742,1,0,30,low
USER_194662,3,4,84,high
USER_076415,2,3,46,mid
USER_102022,1,1,16,low
USER_107858,1,0,30,low
USER_075531,2,3,67,mid
USER_185750,3,6,90,high
USER_001764,3,9,97,high
USER_114906,2,3,66,mid
USER_176062,2,1,59,mid
USER_130322,1,1,32,low
USER_136178,2,1,54,mid
USER_078527,2,2,56,mid
USER_187812,2,1,60,mid
USER_141636,1,1,27,low
USER_183625,3,7,72,high
USER_157403,1,0,38,low
USER_020851,1,1,12,low
USER_190395,1,1,20,low
USER_180252,3,3,84,high
USER_127610,1,1,33,low
USER_117398,3,9,76,high
USER_136582,3,6,99,high
USER_118936,3,9,94,high
USER_029590,1,1,10,low
USER_064700,3,6,80,high
USER_009970,3,3,89,high
USER_199323,3,5,78,high
USER_166193,1,1,16,low
USER_055822,1,0,16,low
USER_015151,3,9,74,high
USER_105821,1,1,32,low
USER_120286,2,1,55,mid
USER_078881,1,0,18,low
USER_028331,1,1,31,low
USER_032499,1,0,39,low
USER_098710,1,0,11,low
USER_017071,3,6,96,high
USER_157959,2,3,67,mid
USER_121030,1,0,22,low
USER_160030,1,1,34,low
USER_006340,1,1,16,low
USER_011043,2,1,62,mid
USER_013260,3,7,99,high
USER_184871,1,1,33,low
USER_047210,3,3,89,high
USER_017704,1,1,27,low
USER_037905,1,1,33,low
USER_062827,2,3,43,mid
USER_055444,3,8,80,high
USER_154834,1,0,15,low
USER_136300,1,1,27,low
USER_186268,2,2,52,mid
USER_052126,2,3,55,mid
USER_164178,1,0,32,low
USER_081174,2,2,51,mid
USER_092004,3,4,72,high
USER_194714,2,1,42,mid
USER_133798,3,7,93,high
USER_121062,1,0,32,low
USER_151673,1,1,28,low
USER_080594,1,1,21,low
USER_017766,1,0,12,low
USER_181358,1,1,20,low
USER_059073,1,1,31,low
USER_016635,2,1,67,mid
USER_040958,2,1,49,mid
USER_071114,1,0,18,low
USER_028446,3,8,90,high
USER_093782,1,0,11,low
USER_088334,3,6,96,high
USER_082411,1,1,28,low
USER_186082,1,0,36,low
USER_094001,2,3,69,mid
USER_025512,1,1,13,low
USER_118791,1,1,35,low
USER_062230,1,0,21,low
USER_111339,2,3,56,mid
USER_040264,1,0,35,low
USER_004066,2,3,41,mid
USER_145651,2,2,53,mid
USER_035738,1,0,33,low
USER_110871,1,0,14,low
USER_004772,3,7,71,high
USER_195571,1,1,18,low
USER_142549,1,1,39,low
USER_115714,1,0,22,low
USER_050492,2,3,43,mid
USER_117751,3,4,71,high
USER_059420,1,0,18,low
USER_016369,3,6,73,high
USER_061978,3,7,86,high
USER_119923,3,8,78,high
USER_121125,3,5,83,high
USER_052863,3,5,85,high
USER_050332,1,0,11,low
USER_179852,2,3,40,mid
USER_194350,1,1,18,low
USER_079061,2,3,46,mid
USER_018050,1,0,19,low
USER_022945,1,1,37,low
USER_027146,2,3,52,mid
USER_007439,3,9,84,high
USER_125446,1,1,21,low
USER_185984,1,0,24,low
USER_112421,1,0,16,low
USER_135900,1,0,21,low
USER_026712,1,1,11,low
USER_030978,2,1,51,mid
USER_035346,2,1,58,mid
USER_062387,3,9,90,high
USER_083679,1,1,13,low
USER_169761,3,4,84,high
USER_187676,1,1,22,low
USER_032932,2,3,68,mid
USER_017274,1,1,34,low
USER_006549,1,0,23,low
USER_097073,3,5,82,high
USER_054491,1,0,13,low
USER_178040,2,2,40,mid
USER_176046,1,0,17,low
USER_162243,1,0,14,low
USER_003032,3,4,78,high
USER_191602,1,1,26,low
USER_069678,1,0,19,low
