user_id,risk_level,fraud_count,risk_score,risk_bucket
USER_167570,1,0,38,low
USER_102260,2,2,54,mid
USER_005505,2,1,45,mid
USER_080347,1,0,17,low
USER_055513,2,3,41,mid
USER_073358,1,1,29,low
USER_055442,2,2,54,mid
USER_043880,3,7,73,high
USER_169491,2,2,65,mid
USER_016214,3,4,82,high
USER_174111,1,1,37,low
USER_155906,1,0,34,low
USER_112017,2,2,44,mid
USER_196571,1,0,20,low
USER_057958,3,6,90,high
USER_017648,3,9,94,high
USER_073671,3,5,70,high
USER_089455,1,1,28,low
USER_150749,3,8,94,high
USER_127802,2,1,56,mid
USER_096236,3,3,93,high
USER_187175,2,2,50,mid
USER_171669,1,0,11,low
USER_073389,3,6,81,high
USER_189307,2,3,55,mid
USER_142638,1,0,17,low
USER_031014,2,3,62,mid
USER_052014,2,2,56,mid
USER_060587,2,1,66,mid
USER_145254,3,6,87,high
USER_090759,1,0,16,low
USER_089464,1,0,20,low
USER_116766,1,0,16,low
USER_019630,2,2,53,mid
USER_101991,1,1,22,low
USER_085721,2,3,43,mid
USER_095182,1,0,30,low
USER_059501,2,3,44,mid
USER_066999,1,0,29,low
USER_003952,1,1,27,low
USER_061008,1,0,12,low
USER_049382,3,6,85,high
USER_079705,3,5,83,high
USER_181990,1,0,18,low
USER_118801,1,0,19,low
USER_037229,1,0,38,low
USER_053227,2,2,51,mid
USER_079771,1,1,34,low
USER_074912,3,6,92,high
USER_080172,2,3,65,mid
USER_169518,1,1,20,low
USER_038711,1,0,16,low
USER_121162,2,1,48,mid
USER_196159,2,2,45,mid
USER_096997,1,1,30,low
USER_063822,1,1,17,low
USER_195961,1,0,13,low
USER_167090,3,8,91,high
USER_034192,1,1,23,low
USER_052346,3,9,80,high
USER_032751,1,1,19,low
USER_031022,1,0,13,low
USER_197179,2,2,51,mid
USER_140307,2,3,50,mid
USER_078998,1,0,38,low
USER_070474,1,1,20,low
USER_013910,1,1,12,low
USER_018726,3,4,76,high
USER_069859,1,1,25,low
USER_083203,1,1,23,low
USER_102257,1,1,32,low
USER_041980,3,5,87,high
USER_009024,1,1,21,low
USER_055794,1,0,27,low
USER_131993,1,1,27,low
USER_173065,3,4,91,high
USER_093634,1,0,31,low
USER_177522,2,1,68,mid
USER_008981,3,7,76,high
USER_006700,3,7,77,high
USER_158152,2,1,48,mid
USER_109348,1,1,31,low
USER_190350,2,3,53,mid
USER_157598,2,2,68,mid
USER_079686,3,7,77,high
USER_074554,2,3,53,mid
USER_166716,1,1,37,low
USER_049117,1,1,36,low
USER_048330,2,3,67,mid
USER_043025,1,0,15,low
USER_015031,1,1,28,low
USER_199761,1,1,22,low
USER_080348,2,3,60,mid
USER_079476,2,1,41,mid
USER_118555,3,4,70,high
USER_182761,1,1,15,low
USER_178796,1,1,24,low
USER_141816,2,1,59,mid
USER_060143,3,9,90,high
USER_181472,1,0,26,low
USER_162378,1,1,11,low
USER_190285,1,1,38,low
USER_173231,3,7,89,high
USER_155640,3,6,91,high
USER_171589,1,1,15,low
USER_006811,1,1,18,low
USER_053056,2,3,41,mid
USER_159565,2,1,61,mid
USER_113588,2,2,51,mid
USER_024236,1,1,18,low
USER_050340,1,0,21,low
USER_045432,1,0,16,low
USER_109056,2,3,40,mid
USER_137332,3,7,88,high
USER_035113,1,0,27,low
USER_150146,2,2,47,mid
USER_082539,1,1,22,low
USER_141927,1,0,29,low
USER_068326,3,3,82,high
USER_004580,3,7,73,high
USER_080609,1,1,29,low
USER_186199,2,3,46,mid
USER_075714,2,2,65,mid
USER_092617,1,0,35,low
USER_137973,1,1,38,low
USER_059106,1,0,31,low
USER_198450,2,1,46,mid
USER_042909,2,2,43,mid
USER_061396,1,0,28,low
USER_002455,2,1,48,mid
USER_113562,3,9,98,high
USER_125613,3,5,75,high
USER_044005,1,0,20,low
USER_098427,1,1,11,low
USER_124885,2,2,61,mid
USER_044066,2,1,58,mid
USER_131699,3,6,71,high
USER_045555,3,9,75,high
USER_106159,1,1,27,low
USER_129182,3,6,88,high
USER_157504,1,1,24,low
USER_108229,1,1,11,low
USER_148623,1,0,24,low
USER_195939,1,1,33,low
USER_018647,3,9,98,high
USER_027095,2,3,40,mid
USER_091869,2,2,57,mid
USER_149816,3,3,92,high
USER_181469,3,7,76,high
USER_186552,1,0,38,low
USER_189329,3,3,79,high
USER_182345,2,1,56,mid
USER_042519,1,0,20,low
USER_188396,1,1,30,low
USER_087412,1,0,17,low
USER_198462,1,0,38,low
USER_020628,2,3,67,mid
USER_077813,2,3,54,mid
USER_076512,1,1,28,low
USER_023439,2,3,48,mid
USER_160471,2,1,65,mid
USER_018866,1,0,32,low
USER_082940,1,1,24,low
USER_032164,3,7,96,high
USER_137224,1,0,24,low
USER_139600,3,8,87,high
USER_076405,1,0,31,low
USER_065318,2,1,65,mid
USER_088600,1,0,12,low
USER_186849,3,6,93,high
USER_154026,1,0,11,low
USER_133422,1,0,37,low
USER_107384,2,1,48,mid
USER_175863,2,2,40,mid
USER_162429,1,1,36,low
USER_049227,1,1,13,low
USER_142912,3,3,93,high
USER_042941,2,3,53,mid
USER_179765,1,1,11,low
USER_000097,2,2,49,mid
USER_126743,2,1,66,mid
USER_112383,1,0,37,low
USER_101339,2,3,69,mid
USER_030494,3,3,74,high
USER_118693,1,1,28,low
USER_167087,2,1,49,mid
USER_128583,2,1,63,mid
USER_043256,1,1,13,low
USER_111563,3,5,83,high
USER_067710,1,0,27,low
USER_015588,1,0,30,low
USER_054221,3,3,95,high
USER_065673,1,1,37,low
USER_184135,1,1,29,low
USER_188452,1,0,26,low
USER_094776,1,0,35,low
USER_199877,2,3,50,mid
USER_144229,1,1,21,low
USER_090660,2,1,50,mid
USER_060266,1,0,33,low
USER_082911,3,9,97,high
USER_154964,3,4,86,high
USER_042505,1,1,36,low
USER_186889,1,1,15,low
USER_008036,2,3,54,mid
USER_083853,1,1,34,low
USER_130294,2,1,42,mid
USER_151026,1,0,24,low
USER_134058,1,0,11,low
USER_118353,3,8,95,high
USER_023433,2,1,41,mid
USER_079953,2,2,54,mid
USER_109010,1,0,21,low
USER_176082,1,0,34,low
USER_091313,1,1,26,low
USER_162627,3,8,89,high
USER_102007,1,0,26,low
USER_134760,1,1,26,low
USER_151643,1,1,22,low
USER_177703,1,1,32,low
USER_195202,3,5,97,high
USER_090635,2,3,54,mid
USER_011949,1,1,25,low
USER_147167,3,3,76,high
USER_082559,1,1,37,low
USER_102719,3,5,84,high
USER_026749,1,0,14,low
USER_047593,2,3,68,mid
USER_159002,1,1,16,low
USER_147318,1,0,24,low
USER_007151,3,9,72,high
USER_077020,1,0,39,low
USER_111299,2,1,57,mid
USER_070157,1,1,39,low
USER_023820,1,0,27,low
USER_049632,2,3,56,mid
USER_135055,2,1,57,mid
USER_132477,1,0,29,low
USER_137616,1,0,21,low
USER_089005,3,9,79,high
USER_177741,1,0,31,low
USER_033483,1,0,14,low
USER_147788,1,1,33,low
USER_053053,1,1,35,low
USER_023037,1,0,18,low
USER_102788,1,0,37,low
USER_053616,1,0,11,low
USER_174050,1,0,28,low
USER_008833,3,4,99,high
USER_056619,1,0,19,low
USER_085642,3,6,94,high
USER_042559,2,3,58,mid
USER_191293,1,1,37,low
USER_088819,2,1,69,mid
USER_142235,3,7,90,high
USER_165821,1,0,12,low
USER_179319,3,4,88,high
USER_183923,3,7,85,high
USER_061606,1,1,22,low
USER_155639,1,1,17,low
USER_013005,3,5,93,high
USER_084801,1,1,17,low
USER_146690,3,3,88,high
USER_003915,2,1,62,mid
USER_084167,2,3,41,mid
USER_052426,2,2,54,mid
USER_157459,2,1,50,mid
USER_024390,2,1,57,mid
USER_013853,3,8,70,high
USER_025993,1,0,38,low
USER_013721,1,0,39,low
USER_075752,2,2,50,mid
USER_159086,1,0,10,low
USER_159933,2,3,60,mid
USER_106424,1,1,26,low
USER_146295,2,3,62,mid
USER_136069,2,1,69,mid
USER_116622,2,1,58,mid
USER_112620,1,1,12,low
USER_138377,1,1,29,low
USER_109476,2,3,63,mid
USER_189551,2,3,58,mid
USER_006659,1,1,32,low
USER_160617,1,1,21,low
USER_138799,3,7,90,high
USER_123908,2,1,51,mid
USER_047038,2,2,48,mid
USER_186965,1,0,39,low
USER_190530,2,1,49,mid
USER_022842,2,1,42,mid
USER_183243,1,0,30,low
USER_097095,1,1,24,low
USER_046391,1,1,14,low
USER_114056,1,0,17,low
USER_068191,2,1,43,mid
USER_066021,2,3,67,mid
USER_135569,3,4,92,high
USER_163850,2,1,63,mid
USER_055756,2,1,41,mid
USER_154687,1,1,14,low
USER_061772,1,1,33,low
USER_025644,2,3,58,mid
USER_139936,1,0,17,low
USER_087359,2,1,40,mid
USER_114554,3,5,91,high
USER_034935,1,0,20,low
USER_132681,1,1,12,low
USER_158788,1,0,17,low
USER_132761,3,5,73,high
USER_062018,1,1,11,low
USER_155825,2,3,64,mid
USER_042423,3,4,70,high
USER_018699,2,3,57,mid
USER_087012,2,1,44,mid
USER_052520,3,3,90,high
USER_064176,1,1,11,low
USER_089851,1,0,28,low
USER_049244,2,2,64,mid
USER_101219,2,3,56,mid
USER_159334,2,1,55,mid
USER_089666,3,7,93,high
USER_158594,2,1,40,mid
USER_132099,1,1,30,low
USER_107995,1,0,30,low
USER_078786,1,0,20,low
USER_019028,1,0,19,low
USER_131301,3,4,83,high
USER_193774,2,2,56,mid
USER_120949,2,1,64,mid
USER_021108,1,0,10,low
USER_163836,1,0,15,low
USER_093700,1,0,15,low
USER_112145,3,7,88,high
USER_089134,1,1,37,low
USER_023778,1,1,36,low
USER_150476,1,0,18,low
USER_159378,2,3,54,mid
USER_041044,2,1,61,mid
USER_170149,1,0,32,low
USER_165912,1,0,34,low
USER_028154,1,1,12,low
USER_193348,1,1,30,low
USER_196484,2,1,45,mid
USER_114904,1,1,19,low
USER_102603,2,3,40,mid
USER_023218,1,0,11,low
USER_026896,2,1,42,mid
USER_032652,3,6,92,high
USER_016935,1,0,12,low
USER_184077,2,1,53,mid
USER_120301,1,0,19,low
USER_064498,2,2,67,mid
USER_099610,1,1,35,low
USER_056267,1,0,32,low
USER_069652,3,6,92,high
USER_091762,1,1,13,low
USER_152508,2,1,51,mid
USER_189057,3,3,80,high
USER_015084,2,2,56,mid
USER_168109,2,2,63,mid
USER_154154,2,1,40,mid
USER_155510,3,4,71,high
USER_180778,3,6,88,high
USER_133672,3,8,77,high
USER_151121,1,0,10,low
USER_049710,2,3,69,mid
USER_140295,1,0,15,low
USER_168524,3,5,72,high
USER_127736,3,9,84,high
USER_166806,3,3,80,high
USER_187435,1,1,11,low
USER_028913,1,1,30,low
USER_004943,2,1,55,mid
USER_097066,1,1,30,low
USER_006852,2,3,62,mid
USER_004300,3,3,75,high
USER_039264,2,1,62,mid
USER_108663,2,3,51,mid
USER_080363,3,5,79,high
USER_101882,1,0,18,low
USER_130972,2,2,44,mid
USER_199459,1,1,13,low
USER_030287,1,1,17,low
USER_102265,1,0,28,low
USER_107498,2,3,49,mid
USER_096336,1,1,33,low
USER_072730,2,1,60,mid
USER_105083,2,2,58,mid
USER_069021,1,1,12,low
USER_039162,1,0,35,low
USER_026231,1,1,11,low
USER_101346,2,1,54,mid
USER_054743,1,0,30,low
USER_100918,1,0,32,low
USER_051033,1,0,33,low
USER_178092,1,0,23,low
USER_118403,1,0,15,low
USER_168769,2,2,55,mid
USER_181031,3,3,94,high
USER_010534,1,1,11,low
USER_112419,1,1,10,low
USER_159881,1,0,16,low
USER_180422,2,3,44,mid
USER_085897,1,1,32,low
USER_034270,1,0,14,low
USER_146896,3,4,97,high
USER_009476,3,7,88,high
USER_019727,3,7,84,high
USER_026141,3,6,81,high
USER_089413,2,1,47,mid
USER_151720,3,8,77,high
USER_071137,1,1,35,low
USER_115950,2,2,67,mid
USER_117213,2,3,47,mid
USER_129699,3,3,89,high
USER_002090,3,8,76,high
USER_026194,3,4,71,high
USER_199541,1,1,17,low
USER_019122,1,1,13,low
USER_077383,2,3,41,mid
USER_041616,2,1,55,mid
USER_056245,2,1,63,mid
USER_110448,2,3,49,mid
USER_179925,1,0,14,low
USER_180207,1,0,22,low
USER_052186,2,1,45,mid
USER_103478,1,0,21,low
USER_069918,1,1,21,low
USER_171175,2,2,44,mid
USER_107151,1,0,22,low
USER_177450,2,1,46,mid
USER_052595,1,0,10,low
USER_132085,1,1,21,low
USER_059107,2,2,68,mid
USER_092174,1,0,22,low
USER_097395,2,3,62,mid
USER_032004,1,0,36,low
USER_160481,2,1,40,mid
USER_104174,1,1,28,low
USER_099216,1,0,24,low
USER_020958,3,3,72,high
USER_074125,1,0,13,low
USER_070055,1,0,12,low
USER_022185,2,1,59,mid
USER_032092,2,3,68,mid
USER_145664,2,3,56,mid
USER_138581,2,1,61,mid
USER_088954,3,9,85,high
USER_097333,2,1,53,mid
USER_159293,2,1,69,mid
USER_098961,2,2,62,mid
USER_080367,2,3,58,mid
USER_142818,1,1,39,low
USER_163492,2,3,48,mid
USER_032526,1,1,28,low
USER_192354,2,3,64,mid
USER_023523,2,3,57,mid
USER_143409,1,1,22,low
USER_062651,2,1,50,mid
USER_049110,1,1,23,low
USER_088751,1,1,22,low
USER_141330,1,0,26,low
USER_095502,2,1,44,mid
USER_017801,2,2,52,mid
USER_014096,2,2,52,mid
USER_148877,3,5,94,high
USER_068156,3,5,87,high
USER_008892,1,0,24,low
USER_125730,2,3,64,mid
USER_199275,2,3,67,mid
USER_151179,1,1,30,low
USER_151934,3,9,86,high
USER_172431,2,1,66,mid
USER_161028,2,2,66,mid
USER_070024,2,3,51,mid
USER_178484,3,4,70,high
USER_147192,1,1,31,low
USER_194982,2,3,64,mid
USER_074764,1,0,23,low
USER_030167,2,3,45,mid
USER_198170,1,0,35,low
USER_164475,1,0,33,low
USER_179999,1,0,13,low
USER_078941,2,1,69,mid
USER_195576,1,0,32,low
USER_008878,2,3,60,mid
USER_136441,3,8,83,high
USER_120203,2,1,46,mid
USER_087096,2,2,54,mid
USER_069049,2,2,53,mid
USER_123772,3,3,86,high
USER_168715,1,0,29,low
USER_063125,3,9,79,high
USER_148712,1,1,16,low
USER_078762,2,2,44,mid
USER_003966,1,0,26,low
USER_134983,1,1,35,low
USER_192639,1,1,14,low
USER_195084,3,5,81,high
USER_033940,2,3,44,mid
USER_139710,1,0,39,low
USER_012977,2,2,65,mid
USER_049572,1,1,15,low
USER_096228,1,0,33,low
USER_172680,1,0,31,low
USER_081727,3,7,96,high
USER_019923,3,7,93,high
USER_028825,1,0,24,low
USER_064282,2,3,50,mid
USER_086063,2,1,56,mid
USER_085650,3,4,83,high
USER_035394,2,1,52,mid
USER_148040,3,7,81,high
USER_136550,3,4,89,high
USER_186570,1,0,15,low
USER_005535,1,0,35,low
USER_070333,2,3,40,mid
USER_174163,1,0,33,low
USER_018867,2,1,45,mid
USER_106937,2,1,60,mid
USER_193515,1,0,23,low
USER_092461,2,1,61,mid
USER_118364,3,3,89,high
USER_046506,1,1,15,low
USER_193587,1,0,12,low
USER_119599,1,0,19,low
USER_101947,1,0,14,low
USER_150040,3,9,97,high
USER_175227,3,7,81,high
USER_184447,1,1,30,low
USER_085119,3,6,71,high
USER_122161,2,1,57,mid
USER_014878,1,1,35,low
USER_077878,2,3,54,mid
USER_113244,1,0,29,low
USER_168466,2,1,63,mid
USER_044083,1,1,11,low
USER_024543,2,1,51,mid
USER_158964,1,0,17,low
USER_094762,1,0,14,low
USER_162031,1,1,37,low
USER_099613,1,1,39,low
USER_151674,2,3,63,mid
USER_103023,1,0,18,low
USER_097942,2,3,54,mid
USER_051082,2,1,40,mid
USER_045061,1,0,28,low
USER_098703,3,7,76,high
USER_173450,3,3,91,high
USER_096543,2,1,61,mid
USER_128080,3,3,78,high
USER_000301,2,1,56,mid
USER_013835,1,1,38,low
USER_193780,1,1,31,low
USER_025431,1,1,27,low
USER_076919,1,1,14,low
USER_122950,2,2,62,mid
USER_181545,3,4,99,high
USER_139965,3,9,76,high
USER_106769,1,1,17,low
USER_110593,1,0,19,low
USER_154060,1,0,34,low
USER_053542,2,2,49,mid
USER_131912,1,1,15,low
USER_197429,2,3,51,mid
USER_170919,3,5,81,high
USER_087644,1,0,28,low
USER_017386,1,0,26,low
USER_113414,3,9,73,high
USER_121200,1,1,17,low
USER_038492,2,3,45,mid
USER_139735,1,0,27,low
USER_103463,1,1,12,low
USER_136540,3,4,78,high
USER_040602,3,8,80,high
USER_020516,2,2,47,mid
USER_007733,3,8,91,high
USER_070399,1,1,26,low
USER_168666,2,1,47,mid
USER_084500,1,1,27,low
USER_126138,2,3,69,mid
USER_150797,1,1,28,low
USER_015765,2,2,65,mid
USER_001863,2,3,66,mid
USER_105087,1,0,15,low
