user_id,risk_level,fraud_count,risk_score,risk_bucket
USER_192023,1,0,31,low
USER_123357,1,1,37,low
USER_192916,2,2,44,mid
USER_108233,1,1,33,low
USER_197870,2,3,69,mid
USER_189971,1,0,22,low
USER_061753,1,0,11,low
USER_060556,1,1,35,low
USER_162222,1,0,34,low
USER_127717,1,1,20,low
USER_054808,1,1,15,low
USER_038252,2,1,43,mid
USER_085644,1,1,38,low
USER_192657,1,1,28,low
USER_007709,1,1,39,low
USER_166562,1,1,28,low
USER_112325,1,0,28,low
USER_086127,3,6,91,high
USER_102280,1,0,26,low
USER_061518,2,1,57,mid
USER_001296,1,0,11,low
USER_035245,1,0,14,low
USER_009869,1,0,30,low
USER_010588,3,3,81,high
USER_024993,3,5,91,high
USER_184758,1,1,17,low
USER_154713,1,1,11,low
USER_015676,1,0,15,low
USER_110039,1,1,11,low
USER_008246,1,0,35,low
USER_024808,2,1,63,mid
USER_095630,1,0,10,low
USER_012880,2,1,57,mid
USER_048901,3,7,87,high
USER_138760,1,0,37,low
USER_044915,2,2,63,mid
USER_144261,2,1,67,mid
USER_041176,1,1,22,low
USER_041691,1,0,37,low
USER_120347,3,8,85,high
USER_149389,2,3,66,mid
USER_000150,1,1,14,low
USER_126361,2,1,60,mid
USER_075940,2,1,49,mid
USER_092708,1,0,39,low
USER_075907,1,1,16,low
USER_027048,1,1,26,low
USER_138141,2,1,69,mid
USER_167116,1,1,27,low
USER_142394,2,3,51,mid
USER_099754,2,2,51,mid
USER_043583,3,5,82,high
USER_070762,1,0,14,low
USER_064620,2,3,41,mid
USER_105527,3,6,77,high
USER_127927,1,1,16,low
USER_092609,3,5,71,high
USER_108600,1,0,38,low
USER_063508,3,8,82,high
USER_003037,1,1,33,low
USER_067576,3,8,73,high
USER_163930,1,1,25,low
USER_158380,2,1,40,mid
USER_167527,1,0,18,low
USER_181291,2,2,48,mid
USER_042260,2,1,67,mid
USER_106798,2,2,54,mid
USER_125584,1,1,16,low
USER_100612,2,2,46,mid
USER_052547,1,0,34,low
USER_172021,2,1,46,mid
USER_040500,1,1,24,low
USER_045460,1,0,28,low
USER_168009,2,2,59,mid
USER_182098,3,7,74,high
USER_164777,3,7,88,high
USER_027377,1,0,12,low
USER_037321,1,0,18,low
USER_179016,3,7,73,high
USER_167625,1,1,15,low
USER_011305,2,1,45,mid
USER_185767,2,2,58,mid
USER_067885,1,1,27,low
USER_078051,3,8,71,high
USER_107201,1,1,36,low
USER_126093,3,6,95,high
USER_105740,3,6,93,high
USER_196870,2,3,41,mid
USER_197938,1,1,20,low
USER_008199,3,4,72,high
USER_101506,1,1,38,low
USER_135764,2,2,43,mid
USER_027553,2,1,50,mid
USER_154047,3,9,78,high
USER_111592,1,0,18,low
USER_144717,1,0,26,low
USER_116742,1,0,31,low
USER_069331,1,1,10,low
USER_003516,1,1,17,low
USER_126490,2,1,58,mid
USER_147847,2,1,59,mid
USER_056461,1,1,38,low
USER_135121,1,0,12,low
USER_176932,1,0,38,low
USER_137614,2,2,51,mid
USER_062579,1,0,23,low
USER_131803,2,1,43,mid
USER_028358,2,2,49,mid
USER_106929,2,1,60,mid
USER_129865,1,0,18,low
USER_129538,2,2,45,mid
USER_115445,2,1,65,mid
USER_047931,2,2,59,mid
USER_058036,1,1,31,low
USER_160460,3,8,71,high
USER_007380,2,1,61,mid
USER_161590,1,0,39,low
USER_102967,2,1,55,mid
USER_116004,3,5,75,high
USER_155518,3,9,77,high
USER_117135,1,1,13,low
USER_161812,1,1,19,low
USER_043809,3,5,93,high
USER_138200,2,3,62,mid
USER_115029,2,3,44,mid
USER_051983,3,7,91,high
USER_138321,1,1,29,low
USER_009793,2,1,68,mid
USER_151958,2,3,41,mid
USER_187250,1,1,20,low
USER_151604,3,4,79,high
USER_013805,2,1,42,mid
USER_131810,1,0,14,low
USER_179866,2,2,59,mid
USER_003711,1,0,39,low
USER_070473,1,0,27,low
USER_198534,2,1,40,mid
USER_078993,2,1,53,mid
USER_189702,1,0,22,low
USER_007344,1,0,33,low
USER_136044,1,0,33,low
USER_140818,1,1,15,low
USER_117580,2,3,63,mid
USER_100335,1,1,20,low
USER_113695,2,1,55,mid
USER_044688,1,1,34,low
USER_039469,1,0,39,low
USER_066211,2,1,48,mid
USER_064617,3,8,93,high
USER_181788,3,8,93,high
USER_161881,1,1,23,low
USER_120753,1,0,31,low
USER_039345,3,7,97,high
USER_160600,1,0,37,low
USER_189508,1,0,10,low
USER_134451,3,7,94,high
USER_017316,1,1,35,low
USER_175824,2,3,42,mid
USER_178792,1,0,14,low
USER_137403,2,3,53,mid
USER_115118,1,0,11,low
USER_009370,2,1,69,mid
USER_029326,2,1,69,mid
USER_006699,2,3,43,mid
USER_095998,1,0,23,low
USER_087277,2,1,61,mid
USER_116922,3,4,99,high
USER_079909,1,1,28,low
USER_166206,1,1,38,low
USER_135475,1,0,27,low
USER_169982,2,3,65,mid
USER_104162,2,3,42,mid
USER_067490,2,3,53,mid
USER_010387,3,7,94,high
USER_077242,1,1,16,low
USER_130773,1,1,33,low
USER_047528,2,3,60,mid
USER_010031,1,1,25,low
USER_055783,1,1,19,low
USER_047698,1,1,23,low
USER_141987,2,1,63,mid
USER_179321,1,0,13,low
USER_196887,2,3,49,mid
USER_169712,1,1,10,low
USER_118035,2,2,64,mid
USER_050487,1,1,17,low
USER_153186,1,1,23,low
USER_076933,3,6,75,high
USER_047843,3,8,74,high
USER_152905,1,0,22,low
USER_160466,2,2,55,mid
USER_044492,1,1,10,low
USER_124553,1,0,24,low
USER_020374,2,3,60,mid
USER_144228,2,2,49,mid
USER_026992,2,1,44,mid
USER_062000,1,0,31,low
USER_190969,3,6,89,high
USER_118753,1,0,33,low
USER_142356,1,0,17,low
USER_105675,1,1,23,low
USER_080220,1,0,32,low
USER_163404,2,1,69,mid
USER_126671,3,3,98,high
USER_078935,3,7,86,high
USER_028133,1,0,24,low
USER_187461,3,4,72,high
USER_198063,1,1,18,low
USER_146631,2,3,64,mid
USER_127773,1,1,31,low
USER_063525,1,0,36,low
USER_077053,1,0,30,low
USER_011475,1,0,10,low
USER_110353,1,1,11,low
USER_141102,1,1,18,low
USER_075257,1,1,32,low
USER_187651,3,7,83,high
USER_140769,1,1,19,low
USER_168011,1,0,20,low
USER_019824,1,0,16,low
USER_017062,2,3,55,mid
USER_087574,3,9,74,high
USER_168810,1,0,34,low
USER_157555,2,1,65,mid
USER_017170,1,1,34,low
USER_040476,2,2,42,mid
USER_073405,1,0,25,low
USER_081286,1,0,36,low
USER_033358,1,1,20,low
USER_121055,1,0,27,low
USER_087306,2,2,63,mid
USER_136992,1,1,13,low
USER_154211,1,0,10,low
USER_004591,3,5,91,high
USER_118857,3,4,70,high
USER_193549,1,1,29,low
USER_197129,1,0,13,low
USER_198751,3,7,73,high
USER_169455,1,1,38,low
USER_182419,2,1,41,mid
USER_199440,3,5,71,high
USER_078501,1,0,37,low
USER_117744,1,1,18,low
USER_019272,1,1,17,low
USER_091081,1,1,27,low
USER_064612,1,1,29,low
USER_177555,2,1,68,mid
USER_039465,1,1,27,low
USER_042744,2,2,46,mid
USER_104948,1,1,23,low
USER_141090,1,1,13,low
USER_048065,1,1,19,low
USER_037651,1,1,32,low
USER_147149,2,3,49,mid
USER_143109,2,3,46,mid
USER_191277,1,1,18,low
USER_084549,1,1,33,low
USER_188185,1,1,35,low
USER_169867,2,3,54,mid
USER_073237,1,1,39,low
USER_123070,2,3,65,mid
USER_043467,1,0,15,low
USER_176283,1,1,28,low
USER_139129,1,1,10,low
USER_049055,1,0,35,low
USER_049205,1,0,37,low
USER_096993,1,0,18,low
USER_056715,3,8,97,high
USER_054375,1,0,19,low
USER_113181,1,0,35,low
USER_062708,2,2,48,mid
USER_028243,1,1,35,low
USER_175198,1,0,34,low
USER_155357,1,0,13,low
USER_052191,2,2,63,mid
USER_147328,1,1,23,low
USER_122235,1,1,16,low
USER_138923,1,0,23,low
USER_061550,1,0,31,low
USER_147418,1,1,37,low
USER_059974,1,1,24,low
USER_122762,2,1,54,mid
USER_020996,1,0,25,low
USER_040545,1,0,36,low
USER_038439,1,1,33,low
USER_014110,1,0,19,low
USER_061070,1,0,27,low
USER_174284,1,0,36,low
USER_055037,3,9,74,high
USER_117496,3,8,93,high
USER_057932,1,1,39,low
USER_174472,2,1,60,mid
USER_106198,2,2,57,mid
USER_099665,1,1,38,low
USER_053194,1,1,13,low
USER_171073,1,1,10,low
USER_110884,2,1,42,mid
USER_101459,2,3,64,mid
USER_040470,1,0,24,low
USER_108164,1,0,34,low
USER_056569,1,1,14,low
USER_068228,3,8,74,high
USER_123140,1,0,10,low
USER_188181,1,0,13,low
USER_012033,1,0,16,low
USER_045125,1,0,17,low
USER_172271,1,0,10,low
USER_170466,1,1,28,low
USER_007819,2,2,43,mid
USER_017886,1,0,31,low
USER_183908,1,1,19,low
USER_111114,1,1,34,low
USER_035974,2,1,60,mid
USER_197256,1,1,16,low
USER_071784,2,2,41,mid
USER_176277,3,4,94,high
USER_096536,3,4,74,high
USER_003260,1,1,28,low
USER_094366,1,1,34,low
USER_161818,1,0,33,low
USER_182667,1,0,20,low
USER_150905,1,0,10,low
USER_074221,1,1,22,low
USER_187006,3,9,99,high
USER_129720,1,1,36,low
USER_151044,1,0,37,low
USER_104789,2,3,45,mid
USER_198981,3,4,72,high
USER_159020,1,1,23,low
USER_068602,1,1,17,low
USER_111762,1,1,23,low
USER_003414,1,0,32,low
USER_147458,2,2,44,mid
USER_111977,2,2,49,mid
USER_187168,2,3,46,mid
USER_109172,3,5,96,high
USER_024278,1,0,17,low
USER_145790,1,0,35,low
USER_179160,1,1,32,low
USER_044089,1,0,29,low
USER_117444,2,2,64,mid
USER_102900,1,1,23,low
USER_040344,3,3,98,high
USER_171937,1,1,18,low
USER_050950,1,0,24,low
USER_061093,1,0,38,low
USER_070764,1,1,36,low
USER_106183,1,1,33,low
USER_105149,1,0,11,low
USER_175556,1,1,24,low
USER_190753,2,1,62,mid
USER_116090,2,1,46,mid
USER_191009,1,1,34,low
USER_143814,1,1,25,low
USER_175143,3,8,99,high
USER_183879,3,4,97,high
USER_065721,3,9,84,high
USER_120489,1,0,28,low
USER_108055,1,1,17,low
USER_024499,2,2,67,mid
USER_010663,2,3,65,mid
USER_016367,1,0,12,low
USER_070462,2,3,56,mid
USER_107540,2,3,69,mid
USER_108773,2,3,69,mid
USER_103995,3,6,94,high
USER_191497,2,3,64,mid
USER_018492,1,1,11,low
USER_059638,3,5,87,high
USER_013847,1,0,36,low
USER_034737,1,1,33,low
USER_026155,1,0,17,low
USER_112414,2,1,52,mid
USER_023805,1,1,12,low
USER_137948,2,1,66,mid
USER_142819,2,3,54,mid
USER_152515,2,3,53,mid
USER_066743,2,3,47,mid
USER_040235,2,3,40,mid
USER_190420,3,4,79,high
USER_043662,2,1,40,mid
USER_130739,1,1,10,low
USER_059400,1,0,21,low
USER_179885,1,1,26,low
USER_133531,3,4,82,high
