user_id,risk_level,fraud_count,risk_score,risk_bucket
USER_077408,2,1,42,mid
USER_054554,1,0,10,low
USER_040919,1,1,10,low
USER_061804,3,8,99,high
USER_168492,1,0,25,low
USER_173999,1,0,22,low
USER_151202,2,3,48,mid
USER_130251,1,0,31,low
USER_088205,1,0,31,low
USER_027070,2,3,69,mid
USER_152402,2,3,45,mid
USER_130704,1,0,11,low
USER_159356,1,0,25,low
USER_015025,2,2,49,mid
USER_170409,1,1,38,low
USER_188865,2,2,44,mid
USER_133224,2,1,63,mid
USER_178199,1,0,33,low
USER_130531,3,9,95,high
USER_156245,2,2,53,mid
USER_190860,3,5,76,high
USER_049117,2,2,49,mid
USER_125414,1,0,16,low
USER_047301,3,7,86,high
USER_022618,1,1,11,low
USER_160008,1,0,22,low
USER_191038,3,3,92,high
USER_135604,2,2,49,mid
USER_141980,3,9,97,high
USER_143130,3,6,83,high
USER_145209,1,0,28,low
USER_035858,1,0,25,low
USER_098519,1,1,12,low
USER_079075,2,1,49,mid
USER_177225,1,1,16,low
USER_115632,2,3,65,mid
USER_005287,3,5,76,high
USER_009762,1,1,23,low
USER_185100,1,1,36,low
USER_182259,1,1,26,low
USER_146952,2,3,51,mid
USER_081184,1,1,27,low
USER_037898,2,3,47,mid
USER_103783,3,6,79,high
USER_129277,1,0,20,low
USER_121161,2,3,68,mid
USER_175745,1,0,24,low
USER_169682,2,3,68,mid
USER_072938,2,3,53,mid
USER_083214,1,1,27,low
USER_110986,2,1,64,mid
USER_155224,1,0,30,low
USER_036945,1,0,31,low
USER_007297,3,9,91,high
USER_185607,1,1,16,low
USER_036592,1,1,24,low
USER_176737,1,1,21,low
USER_137579,1,0,17,low
USER_030776,3,4,98,high
USER_075292,3,3,74,high
USER_005809,1,1,36,low
USER_134667,1,1,24,low
USER_069303,2,3,45,mid
USER_005671,1,1,20,low
USER_063741,2,1,60,mid
USER_148125,1,1,16,low
USER_063425,2,2,61,mid
USER_046454,1,1,31,low
USER_002651,2,1,59,mid
USER_190861,1,0,31,low
USER_009856,3,5,73,high
USER_004388,2,2,40,mid
USER_102630,2,3,58,mid
USER_061245,2,1,55,mid
USER_074944,2,2,69,mid
USER_156601,3,4,88,high
USER_044592,1,1,15,low
USER_079974,2,1,63,mid
USER_069213,1,0,23,low
USER_171718,3,8,77,high
USER_143973,1,1,39,low
USER_067706,2,3,69,mid
USER_021340,1,0,16,low
USER_018635,1,0,35,low
