user_id,risk_level,fraud_count,risk_score,risk_bucket
USER_111046,2,1,52,mid
USER_163367,2,2,61,mid
USER_074175,1,1,11,low
USER_007744,2,1,47,mid
USER_191090,2,2,60,mid
USER_002050,1,1,36,low
USER_161758,2,2,68,mid
USER_075450,3,8,91,high
USER_143270,1,0,16,low
USER_057116,3,3,87,high
USER_139187,1,0,39,low
USER_140839,1,0,25,low
USER_096257,2,1,53,mid
USER_050872,1,1,37,low
USER_149201,1,0,37,low
USER_071816,1,0,29,low
USER_091763,1,0,25,low
USER_024677,2,3,42,mid
USER_125125,2,1,58,mid
USER_054862,3,9,79,high
USER_125349,1,0,20,low
USER_056686,1,0,38,low
USER_145081,1,0,39,low
USER_192147,1,0,33,low
USER_116620,1,1,33,low
USER_050594,1,0,15,low
USER_174321,1,0,38,low
USER_036804,2,1,62,mid
USER_167007,1,1,29,low
USER_103096,1,1,31,low
USER_049355,1,1,28,low
USER_003076,1,1,37,low
USER_030072,3,4,92,high
USER_003710,1,1,18,low
USER_160664,3,5,86,high
USER_183235,3,3,82,high
USER_160163,2,3,63,mid
USER_107494,3,7,77,high
USER_092619,1,1,21,low
USER_028730,1,0,23,low
USER_170691,2,3,65,mid
USER_098452,1,0,34,low
USER_096424,1,1,28,low
USER_063708,1,1,10,low
USER_090020,2,1,66,mid
USER_122881,3,5,95,high
USER_095408,1,0,29,low
USER_038417,2,3,67,mid
USER_001426,3,4,70,high
USER_131603,1,0,14,low
USER_140503,1,0,20,low
USER_110782,1,1,25,low
USER_060676,2,3,48,mid
USER_117007,3,5,89,high
USER_019611,1,0,15,low
USER_104097,1,1,11,low
USER_018330,3,8,98,high
USER_117161,2,3,52,mid
USER_069339,1,0,12,low
USER_144190,1,1,16,low
USER_087996,3,8,75,high
USER_182850,1,1,27,low
USER_181849,2,2,41,mid
USER_067839,2,3,59,mid
USER_197736,2,2,44,mid
USER_021596,1,0,37,low
USER_003006,1,1,37,low
USER_153589,1,0,39,low
USER_034642,3,7,77,high
USER_018951,1,1,35,low
USER_091276,2,2,67,mid
USER_170406,1,0,16,low
USER_112685,2,3,46,mid
USER_026422,3,6,93,high
USER_184153,3,7,84,high
USER_147187,3,9,75,high
USER_035372,2,1,50,mid
USER_055183,1,1,26,low
USER_021268,2,1,61,mid
USER_007888,1,1,17,low
USER_061077,1,1,11,low
USER_170947,2,1,46,mid
USER_058356,2,3,56,mid
USER_107811,3,7,77,high
USER_083854,1,1,10,low
USER_189993,2,1,51,mid
USER_174374,1,0,32,low
USER_024841,3,4,81,high
USER_028206,1,1,29,low
USER_142779,1,0,12,low
USER_145549,1,1,12,low
USER_145200,2,3,45,mid
USER_193953,1,0,24,low
USER_062015,2,3,41,mid
USER_030002,1,1,36,low
USER_020624,3,3,91,high
USER_153376,2,2,51,mid
USER_061692,1,0,33,low
USER_052361,3,6,80,high
USER_105391,1,1,11,low
USER_175889,1,1,22,low
USER_078020,1,1,23,low
USER_092686,1,0,33,low
USER_059397,1,1,20,low
USER_120730,1,1,33,low
USER_000079,2,2,63,mid
USER_005587,1,0,24,low
USER_052909,2,1,60,mid
USER_100035,2,3,47,mid
USER_167764,2,2,53,mid
USER_147267,1,0,29,low
USER_066883,3,4,74,high
USER_136541,1,1,29,low
USER_105714,1,1,30,low
USER_036390,1,1,31,low
USER_007674,1,0,13,low
USER_032203,3,4,81,high
USER_133520,2,3,45,mid
USER_017743,1,0,25,low
USER_001293,3,3,77,high
USER_157710,2,1,49,mid
USER_079292,1,0,15,low
USER_058081,3,6,93,high
USER_074377,1,1,15,low
USER_023468,1,1,13,low
USER_095407,3,7,74,high
USER_090167,1,0,14,low
USER_064418,1,0,33,low
USER_135200,2,2,65,mid
USER_030137,2,3,50,mid
USER_027940,1,1,10,low
USER_112170,1,0,20,low
USER_082542,3,8,75,high
USER_114806,3,6,71,high
USER_018644,2,2,66,mid
USER_006568,3,8,82,high
USER_085667,3,4,77,high
USER_004954,2,1,58,mid
USER_131052,2,3,41,mid
USER_178413,1,0,18,low
USER_027460,1,0,31,low
USER_126888,3,6,94,high
USER_042262,2,2,68,mid
USER_145168,1,0,36,low
USER_023255,1,0,17,low
USER_155901,1,0,18,low
USER_141136,1,0,30,low
USER_040280,1,1,19,low
USER_109308,3,3,85,high
USER_137064,3,3,90,high
USER_139141,2,2,65,mid
USER_128253,3,4,78,high
USER_147059,3,8,87,high
USER_110619,1,1,13,low
USER_060684,2,1,67,mid
USER_164169,2,3,56,mid
USER_082644,2,3,65,mid
USER_034126,1,1,31,low
USER_109436,1,1,20,low
USER_054611,2,2,44,mid
USER_000502,1,0,29,low
USER_130282,3,4,72,high
USER_168225,2,2,51,mid
USER_006783,1,0,13,low
USER_090370,3,6,82,high
USER_134146,3,4,75,high
USER_122839,2,3,41,mid
USER_188049,3,5,78,high
USER_148634,2,1,63,mid
USER_092794,2,3,50,mid
USER_085783,1,1,23,low
USER_163774,2,3,48,mid
USER_052133,2,3,52,mid
USER_065727,1,1,32,low
USER_194619,1,0,16,low
USER_023308,2,2,65,mid
USER_179613,3,7,71,high
USER_012177,3,9,70,high
USER_064029,1,1,31,low
USER_011220,1,1,35,low
USER_170393,3,3,70,high
USER_056208,1,1,20,low
USER_152935,1,1,35,low
USER_143740,2,3,42,mid
USER_156076,1,1,30,low
USER_193721,2,3,40,mid
USER_013953,1,0,34,low
USER_190956,1,1,19,low
USER_032637,2,3,50,mid
USER_178126,1,1,23,low
USER_189887,2,2,42,mid
USER_045200,3,3,89,high
USER_157604,1,0,25,low
USER_172161,1,0,31,low
USER_160313,1,0,24,low
USER_084448,1,0,31,low
USER_077642,1,0,12,low
USER_144329,2,2,58,mid
