user_id,risk_level,fraud_count,risk_score
USER_119738,2,1,61
USER_072273,1,0,29
USER_158155,3,5,74
USER_065427,1,0,27
USER_030075,2,3,61
USER_023678,3,8,73
USER_134859,3,5,87
USER_176419,2,1,56
USER_132468,1,1,15
USER_004083,2,3,61
USER_074457,3,9,91
USER_142134,1,0,12
USER_186434,1,0,35
USER_084661,1,0,25
USER_117168,2,2,62
USER_110853,1,1,25
USER_105001,1,1,39
USER_181464,1,0,19
USER_009448,1,1,21
USER_178532,3,8,72
USER_168259,3,9,84
USER_030069,2,2,49
USER_028456,1,0,25
USER_156519,1,1,22
USER_007817,2,2,46
USER_005255,2,1,64
USER_009849,1,1,25
USER_130691,1,1,32
USER_191767,3,9,72
USER_048711,1,1,19
USER_132177,2,3,61
USER_006604,3,3,83
USER_022726,2,2,54
USER_000810,1,1,29
USER_113504,1,1,33
USER_090859,2,2,63
USER_037748,1,1,27
USER_129626,2,2,45
USER_019645,3,9,98
USER_060152,2,2,69
USER_064048,2,1,51
USER_160889,1,0,22
USER_054784,2,1,63
USER_129465,2,3,65
USER_142388,3,6,85
USER_142235,2,3,57
USER_139137,1,0,25
USER_077727,1,1,26
USER_198811,3,7,72
USER_066401,1,1,23
USER_166159,1,1,20
USER_188688,1,0,17
USER_150192,2,2,59
USER_163810,1,0,17
USER_065430,1,0,39
USER_181499,3,6,80
USER_112317,1,1,24
USER_128745,1,0,17
USER_068412,1,1,32
USER_072465,3,6,85
USER_089987,2,2,55
USER_160068,2,2,50
USER_101073,1,0,16
USER_106474,1,0,32
USER_009198,2,3,46
USER_021615,1,1,21
USER_112235,2,3,68
USER_098626,1,1,22
USER_129879,2,3,47
USER_066177,1,0,31
USER_010076,1,1,11
USER_145013,1,0,38
USER_054403,2,3,51
USER_112813,1,0,24
USER_002816,1,1,10
USER_041260,2,2,46
USER_189058,3,4,84
USER_188902,1,1,18
USER_167030,1,1,23
USER_134553,3,3,75
USER_092597,1,0,28
USER_178490,2,1,61
USER_190727,1,0,19
USER_028291,1,0,28
USER_100164,1,1,22
USER_112904,2,1,63
USER_180473,3,5,85
USER_170637,1,0,10
USER_088987,3,4,96
USER_146322,3,7,88
USER_137860,2,1,55
USER_143391,2,1,54
USER_171679,1,1,18
USER_164775,2,1,56
USER_171403,2,3,57
USER_182092,1,0,19
USER_031930,2,2,41
USER_078447,1,0,28
USER_145115,1,0,39
USER_096762,3,7,84
USER_153368,1,0,24
USER_069029,1,1,38
USER_006683,3,5,92
USER_080570,1,0,17
USER_146280,1,0,32
USER_009571,2,1,48
USER_138795,2,2,66
USER_107075,3,3,97
