user_id,risk_level,fraud_count,risk_score
USER_036140,1,1,16
USER_080534,1,1,38
USER_104223,2,1,44
USER_154471,1,1,30
USER_079800,1,1,19
USER_008369,1,1,32
USER_124298,2,2,53
USER_093610,3,9,98
USER_094220,1,0,37
USER_059522,3,6,96
USER_008941,1,0,37
USER_198674,1,1,15
USER_034626,1,0,28
USER_022502,1,0,13
USER_040241,3,5,71
USER_139565,1,1,36
USER_178522,3,6,87
USER_102500,1,0,38
USER_097091,1,1,35
USER_088226,1,1,10
USER_186465,2,2,62
USER_020617,1,0,22
USER_125628,1,1,16
USER_167304,2,1,42
USER_079061,1,0,21
USER_075479,1,0,25
USER_048756,1,1,13
USER_122708,2,1,53
USER_191268,1,0,18
USER_137388,2,3,59
USER_093195,1,0,16
USER_015545,1,0,14
USER_031719,1,0,22
USER_125944,1,0,23
USER_147230,1,0,24
USER_194061,2,3,69
USER_084704,2,1,44
USER_043063,1,1,17
USER_027967,1,0,35
USER_185569,1,0,29
USER_163061,2,1,64
USER_130154,2,2,44
USER_161950,2,3,53
USER_157347,1,0,13
USER_154409,1,0,26
USER_136341,1,0,18
USER_095663,2,2,66
USER_140961,3,3,92
USER_056260,3,4,76
USER_157193,1,0,37
USER_048902,1,0,11
USER_009586,1,1,36
USER_199799,2,1,61
USER_094123,3,7,90
USER_037208,1,0,28
USER_092018,1,0,20
USER_145488,1,0,31
USER_092196,1,1,36
USER_187831,1,0,25
USER_123352,2,2,54
USER_103244,1,1,22
USER_031858,1,1,37
USER_133816,1,0,26
USER_089549,3,8,93
USER_099726,3,3,97
USER_140379,1,0,19
USER_082667,3,6,77
USER_157853,1,0,28
USER_014356,1,0,36
USER_033597,1,1,21
USER_181216,1,1,13
USER_092725,1,0,29
USER_132274,3,4,70
USER_132622,2,3,57
USER_094679,2,2,42
USER_145662,1,1,13
USER_196593,1,0,24
USER_066270,2,3,64
USER_061305,1,1,32
USER_136789,3,7,71
USER_010148,1,1,14
USER_036576,1,1,12
USER_158775,2,2,62
USER_088589,3,7,83
USER_159369,3,7,79
USER_063931,1,0,28
USER_007248,3,5,99
USER_011442,1,0,38
USER_135276,2,1,61
USER_149072,2,1,57
USER_111324,2,3,55
USER_129687,3,5,75
USER_089075,3,5,90
USER_130992,1,1,19
USER_055638,2,2,52
USER_181982,3,4,76
USER_110519,1,1,21
USER_000262,1,0,26
USER_160692,1,1,26
USER_075256,1,1,10
USER_157314,1,0,35
USER_088745,2,3,46
USER_142680,2,1,59
USER_100058,2,1,44
USER_184986,1,1,37
USER_066655,3,3,72
USER_152985,3,8,86
USER_032188,1,0,31
USER_187758,1,0,20
USER_085191,3,5,77
USER_004453,3,7,78
USER_013827,1,0,25
USER_175151,1,0,22
USER_058141,1,1,36
USER_154668,3,8,96
USER_022539,1,1,36
USER_062404,1,0,24
USER_069973,2,2,53
USER_008564,3,4,72
USER_162184,3,8,88
USER_034423,1,0,14
USER_113853,1,1,34
USER_107637,1,0,20
USER_009880,1,1,17
USER_103291,3,3,94
USER_026685,1,1,27
USER_156923,2,1,48
USER_127720,1,1,13
USER_157332,3,5,92
USER_102420,2,1,54
USER_093234,2,1,47
USER_135266,1,0,37
USER_110236,1,1,15
USER_015264,1,0,30
USER_019524,2,3,52
USER_041553,2,2,68
USER_170759,1,1,25
USER_008223,2,3,40
USER_113314,2,3,40
USER_044297,2,1,45
USER_049063,1,1,26
USER_080726,2,3,66
USER_100161,2,1,48
USER_082845,2,1,41
USER_112817,1,1,21
USER_126801,2,1,68
USER_048747,1,0,11
USER_036997,1,0,27
USER_030838,3,8,81
USER_188088,3,9,80
USER_118583,1,0,13
USER_025285,3,6,88
USER_161258,2,3,59
USER_132249,1,0,29
USER_093503,3,6,73
USER_076364,1,0,21
USER_056556,2,1,40
USER_047769,1,1,10
USER_077235,1,0,38
USER_139459,1,0,38
USER_179910,3,4,76
USER_044878,2,2,67
USER_181609,3,8,87
USER_058743,1,0,26
USER_150579,3,3,94
USER_078052,2,2,44
USER_122579,2,2,64
USER_122462,2,2,63
USER_019794,1,1,12
USER_065200,2,2,55
USER_095498,2,1,60
USER_069863,1,1,22
USER_072555,1,0,11
USER_181348,1,0,14
USER_180566,2,1,67
USER_025063,1,1,27
USER_078391,1,1,11
USER_080228,2,1,49
USER_067173,1,0,17
USER_003437,1,0,37
USER_166277,1,1,12
USER_058939,2,2,40
USER_090429,1,0,18
USER_151664,2,2,56
USER_044420,2,3,55
USER_185239,2,2,42
USER_136847,1,1,25
USER_022410,1,1,30
USER_067435,1,1,10
USER_141458,1,0,15
USER_144089,1,1,29
USER_026404,2,3,43
USER_037696,1,0,37
USER_036601,2,1,69
USER_117994,2,1,45
USER_143374,1,1,28
USER_026413,3,8,82
USER_075369,1,0,32
USER_017788,1,0,12
USER_014432,1,1,26
USER_132319,2,1,54
USER_194253,2,1,53
USER_123404,2,2,63
USER_153140,3,5,83
USER_084321,1,0,18
USER_138627,2,3,42
USER_159716,2,1,53
USER_186961,1,1,25
USER_098654,1,0,30
USER_031852,2,1,50
USER_060050,1,1,35
USER_085238,1,1,20
USER_098333,2,2,49
USER_137373,3,8,97
USER_016091,1,1,34
USER_003650,1,0,33
USER_046601,3,9,96
USER_028287,3,6,71
USER_089817,1,1,26
USER_076816,3,9,93
USER_006706,2,1,62
USER_082737,2,2,40
USER_185432,3,4,75
USER_038637,3,5,83
USER_158695,2,2,47
USER_059721,1,1,30
USER_020540,1,1,24
USER_130587,3,8,98
USER_081888,2,3,48
USER_179932,1,0,23
USER_196551,3,9,98
USER_127192,3,5,87
USER_088700,1,0,23
USER_171792,2,2,42
USER_084377,1,0,30
USER_117865,1,0,21
USER_148691,1,1,35
USER_033756,1,0,27
USER_055625,3,7,81
USER_043222,3,4,86
USER_056316,1,0,35
USER_102549,1,1,16
USER_154684,1,1,39
USER_132790,3,3,94
USER_165538,1,1,23
USER_038318,2,3,41
USER_191637,3,7,70
USER_161263,2,1,68
USER_067105,2,2,48
USER_060705,1,0,36
USER_074330,1,1,25
USER_197393,2,2,56
USER_002128,1,0,12
USER_190101,2,1,49
USER_078989,2,3,58
USER_041620,3,7,93
USER_166389,1,0,16
USER_035602,3,3,95
USER_071972,1,0,17
USER_133213,1,1,22
USER_000181,1,0,12
USER_120925,2,2,58
USER_111619,1,1,30
USER_003038,1,0,19
USER_015600,1,1,17
USER_024121,3,3,79
USER_075533,1,0,19
USER_125613,2,1,41
USER_065254,3,5,95
USER_014082,3,5,82
USER_199620,1,0,23
USER_095309,2,3,45
USER_161057,2,3,53
USER_133389,3,7,71
USER_069527,1,1,31
USER_035572,2,1,68
USER_194919,1,0,23
USER_121153,2,1,65
USER_037047,3,7,76
USER_150417,2,2,53
USER_041068,3,9,96
USER_042103,1,1,25
USER_152211,3,8,94
USER_088320,1,1,20
USER_093441,1,0,10
USER_059134,2,1,69
USER_072097,1,0,28
USER_155984,2,3,67
USER_111297,3,4,74
USER_046098,1,0,36
USER_009111,1,0,10
USER_158871,3,3,86
USER_140239,1,0,15
USER_071969,2,3,59
USER_170434,2,3,51
USER_008670,1,1,24
USER_154428,1,0,24
USER_149024,2,3,63
USER_079681,1,1,18
USER_063114,1,1,29
USER_189629,3,4,79
USER_160873,1,1,32
USER_109916,1,0,17
USER_181269,1,0,21
USER_131504,2,1,61
USER_094132,1,0,12
USER_159910,1,0,29
USER_039978,2,3,51
USER_034558,2,3,46
USER_010080,1,0,24
USER_186343,3,4,77
USER_129180,1,1,19
USER_168775,1,0,31
USER_073706,2,2,53
USER_148030,1,0,38
USER_132156,2,1,63
USER_039853,2,1,55
USER_186065,1,0,25
USER_056895,2,3,44
USER_126641,2,1,43
USER_167039,2,3,41
USER_123733,3,7,79
USER_086160,2,3,68
USER_075172,1,1,33
USER_111781,3,4,71
USER_024746,1,1,11
USER_166384,1,1,39
USER_126108,1,0,27
USER_049709,2,3,63
USER_053589,3,3,81
USER_001981,1,1,11
USER_123431,1,1,31
USER_189849,2,3,69
USER_015981,1,0,39
USER_015698,2,1,49
USER_006447,1,0,15
USER_052888,2,1,47
USER_048076,1,0,18
USER_066037,3,4,85
USER_156732,1,0,23
USER_190758,2,2,54
USER_164427,2,2,42
USER_194886,2,1,59
USER_085159,1,0,19
